"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","p"
8,"4-8","female","2017-2018","did_not_consume",10800,"NULL"
8,"4-8","female","2017-2018","1_metric_cup_or_less",3700,"NULL"
8,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"4-8","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
8,"9-11","female","2017-2018","did_not_consume",3800,"NULL"
8,"9-11","female","2017-2018","1_metric_cup_or_less",3300,"NULL"
8,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"9-11","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
8,"12-13","female","2017-2018","did_not_consume",2800,"NULL"
8,"12-13","female","2017-2018","1_metric_cup_or_less",9999999,"9999999"
8,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",9999999,"9999999"
8,"12-13","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
8,"14-17","female","2017-2018","did_not_consume",4400,"NULL"
8,"14-17","female","2017-2018","1_metric_cup_or_less",3300,"NULL"
8,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",1400,"NULL"
8,"14-17","female","2017-2018","2_metric_cups_or_more",9999999,"9999999"
