"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
7,"9-11","female","2017-2018","2_metric_cups_or_more",800,2
7,"12-13","female","2017-2018","did_not_consume",900,1
7,"12-13","female","2017-2018","1_metric_cup_or_less",900,1
7,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
7,"12-13","female","2017-2018","2_metric_cups_or_more",200,2
7,"14-17","female","2017-2018","did_not_consume",1900,0
7,"14-17","female","2017-2018","1_metric_cup_or_less",1500,1
7,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",400,2
7,"14-17","female","2017-2018","2_metric_cups_or_more",200,2
8,"2-3","female","2017-2018","did_not_consume",4100,0
8,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
8,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
8,"4-8","female","2017-2018","did_not_consume",10800,0
8,"4-8","female","2017-2018","1_metric_cup_or_less",3700,1
8,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
8,"9-11","female","2017-2018","did_not_consume",3800,1
8,"9-11","female","2017-2018","1_metric_cup_or_less",3300,1
8,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
8,"12-13","female","2017-2018","did_not_consume",2800,1
8,"12-13","female","2017-2018","1_metric_cup_or_less",700,2
8,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
8,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
8,"14-17","female","2017-2018","did_not_consume",4400,0
8,"14-17","female","2017-2018","1_metric_cup_or_less",3300,1
8,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",1400,1
8,"14-17","female","2017-2018","2_metric_cups_or_more",0,0
