"LGA_CODE21","calendar_year","sex","age_group","n_births"
"14950",2017,"all","0-0",46
"15050",2017,"all","0-0",1051
"15240",2017,"all","0-0",833
"15270",2017,"all","0-0",306
"15300",2017,"all","0-0",229
"15350",2017,"all","0-0",315
"15520",2017,"all","0-0",142
"15560",2017,"all","0-0",58
"15650",2017,"all","0-0",236
"15700",2017,"all","0-0",192
"15750",2017,"all","0-0",154
"15800",2017,"all","0-0",69
"15850",2017,"all","0-0",86
"15900",2017,"all","0-0",1803
"15950",2017,"all","0-0",1073
"15990",2017,"all","0-0",3096
"16100",2017,"all","0-0",64
"16150",2017,"all","0-0",583
"16200",2017,"all","0-0",179
"16260",2017,"all","0-0",3653
"16350",2017,"all","0-0",3011
"16380",2017,"all","0-0",661
"16400",2017,"all","0-0",700
"16490",2017,"all","0-0",838
"16550",2017,"all","0-0",1733
"16610",2017,"all","0-0",286
"16700",2017,"all","0-0",1450
"16900",2017,"all","0-0",782
"16950",2017,"all","0-0",956
"17000",2017,"all","0-0",279
"17040",2017,"all","0-0",207
"17080",2017,"all","0-0",162
"17100",2017,"all","0-0",542
"17150",2017,"all","0-0",2534
"17200",2017,"all","0-0",2289
"17310",2017,"all","0-0",758
"17350",2017,"all","0-0",70
"17400",2017,"all","0-0",83
"17420",2017,"all","0-0",1616
"17550",2017,"all","0-0",916
"17620",2017,"all","0-0",146
"17640",2017,"all","0-0",77
"17650",2017,"all","0-0",50
"17750",2017,"all","0-0",842
"17850",2017,"all","0-0",26
"17900",2017,"all","0-0",80
"17950",2017,"all","0-0",35
"18020",2017,"all","0-0",95
"18050",2017,"all","0-0",1080
"18100",2017,"all","0-0",28
"18200",2017,"all","0-0",101
"18250",2017,"all","0-0",944
"18350",2017,"all","0-0",438
"18400",2017,"all","0-0",647
"18450",2017,"all","0-0",2410
"18500",2017,"all","0-0",710
"18710",2017,"all","0-0",184
"19399",2017,"all","0-0",12
"10050",2018,"all","0-0",783
"10180",2018,"all","0-0",346
"10250",2018,"all","0-0",443
"10300",2018,"all","0-0",26
"10470",2018,"all","0-0",550
"10500",2018,"all","0-0",2466
"10550",2018,"all","0-0",344
"10600",2018,"all","0-0",133
"10650",2018,"all","0-0",82
"10750",2018,"all","0-0",6475
"10800",2018,"all","0-0",81
"10850",2018,"all","0-0",100
"10900",2018,"all","0-0",786
"10950",2018,"all","0-0",49
"11150",2018,"all","0-0",47
"11200",2018,"all","0-0",15
"11250",2018,"all","0-0",224
"11300",2018,"all","0-0",389
"11350",2018,"all","0-0",439
"11400",2018,"all","0-0",155
"11450",2018,"all","0-0",1945
"11500",2018,"all","0-0",2887
"11520",2018,"all","0-0",1271
"11570",2018,"all","0-0",6095
"11600",2018,"all","0-0",58
"11650",2018,"all","0-0",4306
"11700",2018,"all","0-0",29
"11720",2018,"all","0-0",911
"11730",2018,"all","0-0",548
"11750",2018,"all","0-0",71
"11800",2018,"all","0-0",892
"12000",2018,"all","0-0",61
"12150",2018,"all","0-0",89
"12160",2018,"all","0-0",122
"12350",2018,"all","0-0",151
"12380",2018,"all","0-0",4285
"12390",2018,"all","0-0",881
"12700",2018,"all","0-0",116
"12730",2018,"all","0-0",128
"12750",2018,"all","0-0",340
"12850",2018,"all","0-0",2735
"12870",2018,"all","0-0",103
"12900",2018,"all","0-0",134
"12930",2018,"all","0-0",1926
"12950",2018,"all","0-0",68
"13010",2018,"all","0-0",87
"13310",2018,"all","0-0",352
"13340",2018,"all","0-0",108
"13450",2018,"all","0-0",421
"13550",2018,"all","0-0",234
"13660",2018,"all","0-0",57
"13800",2018,"all","0-0",951
"13850",2018,"all","0-0",41
"13910",2018,"all","0-0",251
"14000",2018,"all","0-0",1541
"14100",2018,"all","0-0",124
"14170",2018,"all","0-0",2638
"14220",2018,"all","0-0",242
"14300",2018,"all","0-0",79
"14350",2018,"all","0-0",347
"14400",2018,"all","0-0",235
"14500",2018,"all","0-0",1051
"14550",2018,"all","0-0",95
"14600",2018,"all","0-0",102
"14650",2018,"all","0-0",2482
"14700",2018,"all","0-0",599
"14750",2018,"all","0-0",153
"14850",2018,"all","0-0",471
"14870",2018,"all","0-0",213
"14900",2018,"all","0-0",3831
"14920",2018,"all","0-0",80
"14950",2018,"all","0-0",42
"15050",2018,"all","0-0",1257
"15240",2018,"all","0-0",864
"15270",2018,"all","0-0",307
"15300",2018,"all","0-0",232
"15350",2018,"all","0-0",357
"15520",2018,"all","0-0",108
"15560",2018,"all","0-0",37
"15650",2018,"all","0-0",248
"15700",2018,"all","0-0",215
"15750",2018,"all","0-0",166
"15800",2018,"all","0-0",77
"15850",2018,"all","0-0",99
"15900",2018,"all","0-0",1995
"15950",2018,"all","0-0",1167
"15990",2018,"all","0-0",3284
"16100",2018,"all","0-0",55
"16150",2018,"all","0-0",710
"16200",2018,"all","0-0",220
"16260",2018,"all","0-0",3854
"16350",2018,"all","0-0",3431
"16380",2018,"all","0-0",772
"16400",2018,"all","0-0",752
"16490",2018,"all","0-0",896
"16550",2018,"all","0-0",1905
"16610",2018,"all","0-0",271
"16700",2018,"all","0-0",1630
"16900",2018,"all","0-0",967
"16950",2018,"all","0-0",1177
"17000",2018,"all","0-0",345
"17040",2018,"all","0-0",207
"17080",2018,"all","0-0",186
"17100",2018,"all","0-0",568
