"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool"
"111011208","3-6","male","2016",307
"111011208","3-6","female","2016",306
"111011208","3-6",NA,"2016",0
"111011209","3-6","male","2016",335
"111011209","3-6","female","2016",320
"111011209","3-6",NA,"2016",0
"111011210","3-6","male","2016",121
"111011210","3-6","female","2016",101
"111011210","3-6",NA,"2016",0
"111011211","3-6","male","2016",42
"111011211","3-6","female","2016",54
"111011211","3-6",NA,"2016",0
"111011212","3-6","male","2016",132
"111011212","3-6","female","2016",113
"111011212","3-6",NA,"2016",0
"111011213","3-6","male","2016",161
"111011213","3-6","female","2016",110
"111011213","3-6",NA,"2016",0
"111011214","3-6","male","2016",152
"111011214","3-6","female","2016",154
"111011214","3-6",NA,"2016",0
"111021215","3-6","male","2016",90
"111021215","3-6","female","2016",98
"111021215","3-6",NA,"2016",0
"111021216","3-6","male","2016",89
"111021216","3-6","female","2016",79
"111021216","3-6",NA,"2016",0
"111021217","3-6","male","2016",241
"111021217","3-6","female","2016",219
"111021217","3-6",NA,"2016",0
"111021218","3-6","male","2016",136
"111021218","3-6","female","2016",114
"111021218","3-6",NA,"2016",0
"111021219","3-6","male","2016",130
"111021219","3-6","female","2016",128
"111021219","3-6",NA,"2016",0
"111021220","3-6","male","2016",103
"111021220","3-6","female","2016",90
"111021220","3-6",NA,"2016",0
"111021221","3-6","male","2016",87
"111021221","3-6","female","2016",90
"111021221","3-6",NA,"2016",0
"111031222","3-6","male","2016",233
"111031222","3-6","female","2016",221
"111031222","3-6",NA,"2016",0
"111031223","3-6","male","2016",112
"111031223","3-6","female","2016",74
"111031223","3-6",NA,"2016",0
"111031224","3-6","male","2016",137
"111031224","3-6","female","2016",116
"111031224","3-6",NA,"2016",0
"111031225","3-6","male","2016",253
"111031225","3-6","female","2016",199
"111031225","3-6",NA,"2016",0
"111031226","3-6","male","2016",252
"111031226","3-6","female","2016",222
"111031226","3-6",NA,"2016",0
"111031227","3-6","male","2016",175
"111031227","3-6","female","2016",156
"111031227","3-6",NA,"2016",0
"111031228","3-6","male","2016",163
"111031228","3-6","female","2016",144
"111031228","3-6",NA,"2016",0
"111031229","3-6","male","2016",81
"111031229","3-6","female","2016",46
"111031229","3-6",NA,"2016",0
"111031230","3-6","male","2016",0
"111031230","3-6","female","2016",0
"111031230","3-6",NA,"2016",0
"111031231","3-6","male","2016",79
"111031231","3-6","female","2016",87
"111031231","3-6",NA,"2016",0
"111031232","3-6","male","2016",81
"111031232","3-6","female","2016",59
"111031232","3-6",NA,"2016",0
"111031233","3-6","male","2016",251
"111031233","3-6","female","2016",217
"111031233","3-6",NA,"2016",0
"111031234","3-6","male","2016",156
"111031234","3-6","female","2016",105
"111031234","3-6",NA,"2016",0
"111031235","3-6","male","2016",96
"111031235","3-6","female","2016",91
"111031235","3-6",NA,"2016",0
"112011236","3-6","male","2016",173
"112011236","3-6","female","2016",158
"112011236","3-6",NA,"2016",0
"112011237","3-6","male","2016",221
"112011237","3-6","female","2016",190
"112011237","3-6",NA,"2016",0
"112011238","3-6","male","2016",64
"112011238","3-6","female","2016",41
"112011238","3-6",NA,"2016",0
"112011239","3-6","male","2016",83
"112011239","3-6","female","2016",82
"112011239","3-6",NA,"2016",0
"112011240","3-6","male","2016",111
"112011240","3-6","female","2016",90
"112011240","3-6",NA,"2016",0
"112011241","3-6","male","2016",50
"112011241","3-6","female","2016",74
"112011241","3-6",NA,"2016",0
"112011242","3-6","male","2016",127
"112011242","3-6","female","2016",126
"112011242","3-6",NA,"2016",0
"112011243","3-6","male","2016",88
"112011243","3-6","female","2016",69
"112011243","3-6",NA,"2016",0
"112021244","3-6","male","2016",158
"112021244","3-6","female","2016",166
"112021244","3-6",NA,"2016",0
"112021245","3-6","male","2016",77
"112021245","3-6","female","2016",64
"112021245","3-6",NA,"2016",0
