"SA3_CODE16","sex","age_group","student_grade_level","calendar_year","domain","naplan_score_acara","state_avg_naplan_score_acara"
11301,"all","8-9","Year 3",2011,"Writing",412.5,425.12
11301,"all","8-9","Year 3",2012,"Writing",400.8,420.34
11301,"all","8-9","Year 3",2013,"Writing",405.9,417.62
11301,"all","8-9","Year 3",2014,"Writing",392.6,404.57
11301,"all","8-9","Year 3",2015,"Writing",401.3,418.6
11301,"all","8-9","Year 3",2016,"Writing",407,420.59
11301,"all","8-9","Year 3",2017,"Writing",396,416.26
11301,"all","8-9","Year 3",2018,"Writing",391.6,409.96
11301,"all","8-9","Year 3",2019,"Writing",411,425.14
11301,"all","8-9","Year 3",2021,"Writing",416.5,428.85
11302,"all","8-9","Year 3",2011,"Writing",418.9,425.12
11302,"all","8-9","Year 3",2012,"Writing",415.3,420.34
11302,"all","8-9","Year 3",2013,"Writing",412.8,417.62
11302,"all","8-9","Year 3",2014,"Writing",400.5,404.57
11302,"all","8-9","Year 3",2015,"Writing",400.4,418.6
11302,"all","8-9","Year 3",2016,"Writing",394.9,420.59
11302,"all","8-9","Year 3",2017,"Writing",390.2,416.26
11302,"all","8-9","Year 3",2018,"Writing",401.4,409.96
11302,"all","8-9","Year 3",2019,"Writing",409.3,425.14
11302,"all","8-9","Year 3",2021,"Writing",419,428.85
11303,"all","8-9","Year 3",2011,"Writing",424.1,425.12
11303,"all","8-9","Year 3",2012,"Writing",415.8,420.34
11303,"all","8-9","Year 3",2013,"Writing",406.5,417.62
11303,"all","8-9","Year 3",2014,"Writing",393.3,404.57
11303,"all","8-9","Year 3",2015,"Writing",410.7,418.6
11303,"all","8-9","Year 3",2016,"Writing",419.8,420.59
11303,"all","8-9","Year 3",2017,"Writing",409.5,416.26
11303,"all","8-9","Year 3",2018,"Writing",403.2,409.96
11303,"all","8-9","Year 3",2019,"Writing",422.4,425.14
11303,"all","8-9","Year 3",2021,"Writing",420.3,428.85
11401,"all","8-9","Year 3",2011,"Writing",412,425.12
11401,"all","8-9","Year 3",2012,"Writing",411.6,420.34
11401,"all","8-9","Year 3",2013,"Writing",405.7,417.62
11401,"all","8-9","Year 3",2014,"Writing",392.1,404.57
11401,"all","8-9","Year 3",2015,"Writing",404,418.6
11401,"all","8-9","Year 3",2016,"Writing",407.3,420.59
11401,"all","8-9","Year 3",2017,"Writing",399,416.26
11401,"all","8-9","Year 3",2018,"Writing",399.8,409.96
11401,"all","8-9","Year 3",2019,"Writing",416,425.14
11401,"all","8-9","Year 3",2021,"Writing",410,428.85
11402,"all","8-9","Year 3",2011,"Writing",426.9,425.12
11402,"all","8-9","Year 3",2012,"Writing",427.2,420.34
