Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"Oxenford-Maudsland",11482,
"Pacific Pines-Gaven",11090,
"Parkwood-Arundel",17782,
"Pimpama-Coomera",5477,
"Robina",19184,
"Varsity Lakes",11799,
"Worongary-Tallai",9319,
"Beaudesert (S) - Pt B",10036,
"Guanaba-Springbrook",3969,
"Caloundra (C) - Caloundra N.",21155,
"Caloundra (C) - Caloundra S.",20134,
"Caloundra (C) - Kawana",20320,
"Maroochy (S) - Buderim",39910,
"Maroochy (S) - Coastal North",23086,
"Maroochy (S) - Maroochydore",16355,
"Maroochy (S) - Mooloolaba",10245,
"Maroochy (S) - Nambour",13276,
"Maroochy (S) - Paynter-Petrie Creek",15206,
"Noosa (S) - Noosa-Noosaville",9103,
"Noosa (S) - Sunshine-Peregian",9233,
"Noosa (S) - Tewantin",11553,
"Caloundra (C) - Hinterland",7656,
"Caloundra (C) - Rail Corridor",18327,
"Maroochy (S) Bal",24763,
"Noosa (S) Bal",15935,
"Esk (S)",15162,
"Kilcoy (S)",3436,
"Beaudesert (S) - Pt C",11269,
"Boonah (S)",8643,
"Gatton (S)",15639,
"Laidley (S)",14480,
"Bundaberg (C)",45806,
"Burnett (S) - Pt A",13967,
"Hervey Bay (C) - Pt A",48155,
"Biggenden (S)",1523,
"Burnett (S) - Pt B",12331,
"Cherbourg (S)",1131,
"Cooloola (S) (excl. Gympie)",19616,
"Cooloola (S) - Gympie only",16450,
"Eidsvold (S)",862,
"Gayndah (S)",2786,
"Hervey Bay (C) - Pt B",4066,
"Isis (S)",6295,
"Kilkivan (S)",3450,
"Kingaroy (S)",12220,
"Kolan (S)",4563,
"Maryborough (C)",25701,
"Miriam Vale (S)",5129,
"Monto (S)",2436,
"Mundubbera (S)",2119,
"Murgon (S)",3458,
"Nanango (S)",9017,
"Perry (S)",426,
"Tiaro (S)",5326,
"Wondai (S)",4401,
"Woocoo (S)",3439,
"Cambooya (S) - Pt A",3911,
"Crow's Nest (S) - Pt A",8717,
"Jondaryan (S) - Pt A",7109,
"Rosalie (S) - Pt A",4540,
"Toowoomba (C) - Central",13547,
"Toowoomba (C) - North-East",10158,
"Toowoomba (C) - North-West",18376,
"Toowoomba (C) - South-East",26023,
"Toowoomba (C) - West",22093,
"Cambooya (S) - Pt B",1906,
"Chinchilla (S)",5941,
"Clifton (S)",2612,
"Crow's Nest (S) - Pt B",3925,
"Dalby (T)",9776,
"Goondiwindi (T)",4713,
"Inglewood (S)",2536,
"Jondaryan (S) - Pt B",6981,
"Millmerran (S)",3101,
"Murilla (S)",2687,
"Pittsworth (S)",4783,
"Rosalie (S) - Pt B",4492,
"Stanthorpe (S)",10126,
"Tara (S)",3673,
"Taroom (S)",2386,
"Waggamba (S)",2875,
"Wambo (S)",5226,
"Warwick (S) - Central",11218,
"Warwick (S) - East",4254,
"Warwick (S) - North",2478,
"Warwick (S) - West",3591,
"Balonne (S)",4629,
"Bendemere (S)",989,
"Booringa (S)",1702,
"Bulloo (S)",374,
"Bungil (S)",2055,
"Murweh (S)",4579,
"Paroo (S)",1927,
"Quilpie (S)",982,
"Roma (T)",6505,
"Warroo (S)",1035,
