Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA2 (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"SA2 (UR)",
"213041357",23437,
"213041358",17550,
"213041359",3043,
"213041360",19223,
"213041461",4749,
"213041462",6071,
"213041463",19900,
"213051361",19225,
"213051362",19476,
"213051363",8903,
"213051365",34788,
"213051366",23409,
"213051368",11334,
"213051369",23274,
"213051464",12198,
"213051465",23177,
"213051466",14432,
"213051467",19862,
"213051468",11812,
"214011370",20713,
"214011371",22568,
"214011372",19291,
"214011373",18204,
"214011374",23832,
"214011375",16462,
"214011376",13078,
"214021377",11024,
"214021378",5371,
"214021379",22019,
"214021380",23991,
"214021381",17889,
"214021382",18547,
"214021383",17120,
"214021384",20944,
"214021385",18086,
"215011386",8301,
"215011387",3142,
"215011388",16252,
"215011389",3407,
"215011390",6888,
"215011391",3351,
"215011392",8096,
"215011393",2764,
"215011394",6623,
"215021395",6876,
"215021396",4773,
"215021398",3722,
"215021399",5878,
"215021469",18065,
"215021470",14552,
"215031400",6202,
"215031401",6653,
"215031402",3890,
"215031403",3313,
"215031404",10907,
"215031405",6375,
"216011406",14577,
"216011407",10906,
"216011408",3802,
"216011409",3882,
"216011410",4037,
"216021411",6345,
"216021412",2570,
"216021413",12265,
"216021414",7929,
"216031415",7937,
"216031416",18603,
"216031417",23137,
"216031418",3850,
"216031419",10129,
"217011420",8720,
"217011421",9970,
"217011422",10799,
"217011423",6073,
"217031471",3496,
"217031472",12250,
"217031473",5322,
"217031474",5380,
"217031475",7159,
"217031476",3427,
"217041477",6650,
"217041478",9433,
"217041479",21101,
"217041480",12919,
"297979799",26,
"299999499",7572,
"301011001",16346,
"301011002",7371,
"301011003",14922,
"301011004",17593,
"301011005",3764,
"301011006",11581,
"301021007",14798,
"301021008",5795,
"301021009",15591,
"301021011",7904,
"301021012",14694,
"301021013",15018,
"301021527",9014,
"301031014",9,
"301031015",7425,
"301031016",11431,
"301031017",4118,
"301031018",8705,
"301031019",8998,
"301031020",13230,
"301031021",14792,
"302011022",7274,
"302011023",8145,
"302011024",9033,
"302011025",8795,
"302011026",7539,
"302021027",12315,
"302021028",9319,
"302021029",6251,
"302021030",4323,
"302021031",13715,
"302021032",6513,
"302021033",6855,
"302021034",9785,
"302031035",9218,
"302031036",192,
"302031037",822,
"302031038",6591,
"302031039",9618,
"302031040",12231,
"302041041",16935,
"302041042",9476,
"302041043",3674,
"302041044",6781,
"302041045",12155,
"302041046",8968,
"303011047",11178,
"303011048",5720,
"303011049",11029,
"303011050",6547,
"303011051",15706,
"303021052",11388,
"303021053",16037,
"303021054",4790,
"303021055",9121,
"303021056",8306,
"303021057",6337,
"303021058",5526,
"303021059",9486,
"303031060",15161,
"303031061",5846,
"303031062",8725,
"303031063",14942,
"303031064",6318,
"303031065",9392,
"303031066",10817,
"303041067",5483,
"303041068",10423,
"303041069",5102,
"303041070",7183,
"303041071",10674,
"303051072",8432,
"303051073",21250,
"303051074",4701,
"303051075",15581,
"303051076",9559,
"303061077",8382,
"303061078",14482,
"303061079",8856,
"303061080",18087,
"304011081",7513,
"304011082",7066,
"304011083",4043,
"304011084",9557,
"304011085",4351,
"304021086",10103,
"304021087",6752,
"304021088",10310,
"304021089",4044,
"304021090",8766,
"304021091",5403,
"304031092",7410,
"304031093",4865,
"304031094",12139,
"304031095",5637,
"304031096",12575,
"304031097",8453,
"304041098",8160,
"304041099",26,
"304041100",7082,
"304041101",8360,
"304041102",0,
"304041103",16474,
"304041104",9907,
"305011105",10189,
"305011106",7142,
"305011107",6328,
"305011108",8213,
"305011109",12787,
"305011110",7229,
"305011111",6066,
"305011112",9618,
"305021113",4227,
"305021114",6698,
"305021115",5783,
"305021116",4972,
"305021117",12613,
"305021118",6302,
"305031119",2793,
"305031120",6000,
"305031121",5142,
"305031122",10473,
"305031123",4247,
"305031124",6289,
"305031125",4654,
"305031126",10079,
"305031127",4978,
"305031128",10639,
"305031129",3937,
"305031130",7187,
"305031131",9746,
"305041132",13313,
"305041133",5498,
"305041134",9717,
"305041135",10788,
"305041136",5746,
"305041137",10803,
"306011138",5364,
"306011139",10834,
"306011140",3566,
