Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Statistical Local Area (SLA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Statistical Local Area (SLA)",
"420054210",8039,
"420056671",1793,
"420056674",7657,
"420059039",134,
"420103080",1163,
"420105040",17678,
"420107290",2138,
"420107800",5666,
"420109109",9,
"425053360",2327,
"425055090",8082,
"425056860",1702,
"425057630",6865,
"425102250",7871,
"425104620",23493,
"425108341",3190,
"425108344",8704,
"430051190",1899,
"430051750",1132,
"430051960",1273,
"430053220",1114,
"430053570",1312,
"430053710",4404,
"430056300",13604,
"430057910",2538,
"430059179",10,
"430101010",3574,
"430107490",2021,
"430109249",461,
"435058540",21417,
"435059389",205,
"435155120",4649,
"435155400",936,
"435155540",1904,
"435156451",13614,
"435156454",3530,
"435159459",258,
"435201830",1727,
"435204830",2843,
"435206090",13875,
"435209529",1098,
"435250250",2235,
"435251330",1911,
"435254000",105,
"435256970",4056,
"435259589",1568,
"485019779",6,
"499999499",2618,
"505051310",23754,
"505051750",8942,
"505052170",7256,
"505055740",8248,
"505056580",20336,
"505056930",1579,
"505057081",1081,
"505057082",10495,
"505057980",16380,
"505058570",26876,
"505100350",13463,
"505100420",55803,
"505104200",49534,
"505106090",35093,
"505108050",93276,
"505154171",49673,
"505154174",100001,
"505157914",98738,
"505157915",62433,
"505157916",15699,
"505158761",31805,
"505158764",37655,
"505158767",41483,
"505201820",74471,
"505203150",6700,
"505203431",823,
"505203432",24009,
"505204830",23198,
"505205320",93000,
"505207490",84306,
"505250210",50537,
"505250490",30334,
"505251330",77303,
"505253780",91582,
"505257700",12893,
"505257840",38361,
"505258510",27959,
"510015110",55817,
"510016230",11973,
"510031190",29700,
"510031401",6013,
"510032661",7722,
"510033991",11532,
"510100630",1380,
"510101404",4192,
"510101890",8613,
"510102664",2614,
"510102870",4735,
"510103994",8019,
"510108820",3448,
"510150280",10350,
"510151260",25358,
"510200770",1482,
"510200840",3953,
"510205180",9257,
"510206300",1190,
"515051050",480,
"515053640",1365,
"515054130",1126,
"515054340",4208,
"515054480",578,
"515054550",2153,
"515058120",659,
"515059380",402,
"515100081",15976,
"515100084",15597,
"515102240",1061,
"515102730",4509,
"515107210",4483,
"520050910",983,
"520052310",785,
"520053010",629,
"520056440",4238,
"520056510",831,
"520057140",1169,
"520058610",1842,
"520058680",354,
