Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Usual Residence"
"SA2"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"


"SA2",
"311021309",5663,
"311021310",5301,
"311031311",11717,
"311031312",6661,
"311031313",3766,
"311031314",11210,
"311031315",0,
"311031316",7752,
"311031317",11490,
"311031318",4590,
"311031319",15529,
"311041320",11780,
"311041321",19706,
"311041322",5853,
"311051323",8526,
"311051324",8031,
"311051325",10728,
"311051326",9312,
"311051327",11277,
"311051328",7012,
"311061329",6255,
"311061330",10184,
"311061331",6262,
"311061332",15122,
"311061333",10434,
"311061334",8991,
"311061335",5325,
"311061336",12788,
"312011337",8851,
"312011338",9878,
"312011339",3746,
"312011340",4043,
"312011341",8966,
"312021342",14404,
"312021343",3637,
"312021344",9908,
"312021345",4,
"312021346",4072,
"312021347",527,
"312021348",10750,
"312021349",6746,
"312021350",4124,
"312021351",7083,
"312021352",11596,
"312021353",8417,
"312021354",5342,
"312021355",3860,
"312021356",7415,
"312021357",8405,
"312021358",6509,
"312031359",10549,
"312031360",0,
"312031361",7986,
"313011362",13485,
"313011363",17047,
"313021364",3674,
"313021365",22299,
"313021366",18608,
"313021367",3722,
"313021368",7167,
"313021369",3583,
"313031370",4838,
"313031371",6454,
"313041372",12963,
"313041373",21762,
"313041374",4816,
"313041375",16222,
"313041376",2825,
"313051377",7911,
"313051378",11094,
"313051379",9200,
"313051380",16614,
"313051381",11168,
"314011382",15862,
"314011383",15427,
"314011384",7669,
"314011385",7991,
"314011386",22634,
"314011387",10929,
"314021388",20427,
"314021389",11753,
"314021390",19380,
"314031391",10003,
"314031392",5727,
"314031393",8500,
"314031394",11126,
"315011395",1295,
"315011396",7057,
"315011397",1209,
"315011398",1693,
"315011399",2299,
"315011400",5495,
"315011401",3259,
"315011402",4250,
"315011403",3332,
"315021404",5033,
"315021405",20569,
"315021406",3856,
"315021407",3667,
"315031408",5416,
"315031409",4617,
"315031410",2446,
"315031411",3243,
"315031412",4188,
"316011413",15281,
"316011414",14356,
"316011415",7016,
"316011416",9088,
"316021417",9676,
"316021418",6143,
"316021419",6082,
"316021420",15126,
"316021421",10227,
"316021422",7783,
"316021423",9100,
"316021424",5897,
"316031425",13153,
"316031426",10183,
"316031427",16700,
"316031428",11052,
"316041429",6696,
"316041430",3364,
"316041431",9417,
"316041432",18136,
"316041433",20254,
"316051434",3997,
"316051435",7732,
"316051436",7776,
"316051437",6343,
"316051438",10044,
"316061439",7198,
"316061440",7980,
"316061441",5545,
"316061442",9486,
"316061443",5932,
"316061444",10155,
"317011445",5700,
"317011446",12270,
"317011447",10103,
"317011448",7179,
"317011449",5571,
"317011450",11248,
"317011451",10240,
"317011452",6563,
"317011453",9564,
"317011454",5897,
"317011455",8215,
"317011456",13299,
"317011457",10052,
"317011458",11400,
"317011459",12919,
"318011460",9152,
"318011461",8140,
"318011462",8235,
"318011463",3936,
"318011464",4768,
"318011465",6801,
"318011466",2339,
"318021467",4910,
"318021468",9469,
"318021469",3457,
"318021470",5508,
"318021471",10344,
"318021472",6147,
"318021473",15217,
"318021474",7190,
"318021475",6726,
"318021476",8106,
"318021477",4217,
"318021478",5124,
"318021479",4859,
"318021480",10247,
"318021481",8142,
"318021482",15851,
"318021483",2197,
"318021484",7883,
"318021485",3879,
"318021486",6073,
"318021487",5258,
"318021488",5096,
"318021489",3961,
"318021490",8608,
"318021491",6076,
"319011492",4980,
"319011493",15386,
"319011494",3887,
"319011495",6179,
"319011496",5214,
"319011497",7286,
"319011498",8015,
"319011499",9386,
"319011500",7649,
"319011501",5757,
"319011502",10999,
"319021503",6428,
"319021504",5066,
"319021505",9809,
"319021506",9327,
"319021507",3715,
"319021508",3716,
"319021509",9413,
"319021510",5,
"319031511",5723,
"319031512",13210,
"319031513",6298,
"319031514",16883,
"319031515",3574,
"319041516",4159,
"319041517",4488,
"319041518",12597,
"319041519",5691,
"319041520",14515,
"319041521",11391,
"319051522",8660,
"319051523",3164,
"319051524",18177,
"319051525",7649,
"319051526",4876,
"397979799",473,
"399999499",12543,
"401011001",12963,
"401011002",6678,
"401021003",6835,
"401021004",17319,
