Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"Mosman Park (T)",8248,
"Mount Magnet (S)",458,
"Mount Marshall (S)",613,
"Mukinbudin (S)",580,
"Mullewa (S)",908,
"Mundaring (S)",35093,
"Murchison (S)",110,
"Murray (S)",11973,
"Nannup (S)",1190,
"Narembeen (S)",904,
"Narrogin (T)",4238,
"Narrogin (S)",831,
"Nedlands (C)",20336,
"Ngaanyatjarraku (S)",1336,
"Northam (T)",6006,
"Northam (S)",3793,
"Northampton (S)",3207,
"Nungarin (S)",245,
"Peppermint Grove (S)",1579,
"Perenjori (S)",532,
"Perth (C)",11573,
"Pingelly (S)",1169,
"Plantagenet (S)",4483,
"Port Hedland (T)",11960,
"Quairading (S)",1019,
"Ravensthorpe (S)",1952,
"Rockingham (C)",84306,
"Roebourne (S)",16419,
"Sandstone (S)",117,
"Serpentine-Jarrahdale (S)",12893,
"Shark Bay (S)",855,
"South Perth (C)",38361,
"Stirling (C)",176867,
"Subiaco (C)",16380,
"Swan (C)",93276,
"Tambellup (S)",659,
"Tammin (S)",389,
"Three Springs (S)",665,
"Toodyay (S)",4110,
"Trayning (S)",392,
"Upper Gascoyne (S)",288,
"Victoria Park (T)",27959,
"Victoria Plains (S)",905,
"Vincent (T)",26876,
"Wagin (S)",1842,
"Wandering (S)",354,
"Wanneroo (C)",110941,
"Waroona (S)",3448,
"West Arthur (S)",856,
"Westonia (S)",210,
"Wickepin (S)",716,
"Williams (S)",864,
"Wiluna (S)",680,
"Wongan-Ballidu (S)",1385,
"Woodanilling (S)",402,
"Wyalkatchem (S)",562,
"Wyndham-East Kimberley (S)",6594,
"Yalgoo (S)",242,
"Yilgarn (S)",1413,
"York (S)",3117,
"WA Unincorporated",339,
"WA No Usual Address",5986,
"Break O'Day (M)",6068,
"Brighton (M)",14122,
"Burnie (C)",19056,
"Central Coast (M)",20664,
"Central Highlands (M)",2244,
"Circular Head (M)",7956,
"Clarence (C)",49638,
"Derwent Valley (M)",9478,
"Devonport (C)",24015,
"Dorset (M)",6996,
"Flinders (M)",859,
"George Town (M)",6529,
"Glamorgan/Spring Bay (M)",4188,
"Glenorchy (C)",43414,
"Hobart (C)",47698,
"Huon Valley (M)",14001,
"Kentish (M)",5759,
"King Island (M)",1641,
"Kingborough (M)",30836,
"Latrobe (M)",8630,
"Launceston (C)",62221,
"Meander Valley (M)",18350,
"Northern Midlands (M)",12092,
"Sorell (M)",11926,
"Southern Midlands (M)",5673,
"Tasman (M)",2241,
"Waratah/Wynyard (M)",13412,
"West Coast (M)",5003,
"West Tamar (M)",20815,
"TAS Unincorporated",89,
"TAS No Usual Address",872,
"Alice Springs (T)",23888,
"Alpurrurulam (CGC)",343,
"Angurugu (CGC)",816,
"Anmatjere (CGC)",967,
"Arltarlpilta (CGC)",236,
"Belyuen (CGC)",176,
"Binjari (CGC)",191,
"Borroloola (CGC)",776,
"Coomalie (CGC)",1106,
"Cox Peninsula (CGC)",294,
"Daguragu (CGC)",542,
"Darwin (C)",66290,
"Elliott District (CGC)",423,
"Jabiru (T)",1139,
"Jilkminggan (CGC)",274,
"Katherine (T)",8191,
"Kunbarllanjnja (CGC)",882,
"Lajamanu (CGC)",672,
"Litchfield (S)",15554,
"Ltyentye Purte (CGC)",542,
"Marngarr (CGC)",275,
"Mataranka (CGC)",251,
"Nauiyu Nambiyu (CGC)",393,
"Numbulwar Numburindi (CGC)",684,
"Nyirranggulung Mardrulk Ngadberre (CGC)",938,
"Palmerston (C)",23716,
"Pine Creek (CGC)",343,
"Tapatjatjaka (CGC)",220,
"Tennant Creek (T)",2924,
"Thamarrurr (CGC)",1930,
"Timber Creek (CGC)",226,
"Tiwi Islands (CGC)",2129,
"Walangeri Ngumpinku (CGC)",466,
"Wallace Rockhole (CGC)",85,
"Watiyawanu (CGC)",269,
"Yuendumu (CGC)",693,
"Yugul Mangi (CGC)",1641,
"NT Unincorporated",30528,
"NT No Usual Address",1901,
"ACT Unincorporated",323325,
"ACT No Usual Address",709,
"OT Unincorporated",2290,
"OT No Usual Address",25,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
