Australian Bureau of Statistics

"2006 Census - Counting Persons, Place of Usual Residence"
"Local Government Area (LGA)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"


"Local Government Area (LGA)",
"LGA64210",18350,
"LGA64610",12092,
"LGA64810",11926,
"LGA65010",5673,
"LGA65210",2241,
"LGA65410",13412,
"LGA65610",5003,
"LGA65810",20815,
"LGA69399",89,
"LGA69499",872,
"LGA70200",23888,
"LGA70300",343,
"LGA70330",816,
"LGA70360",967,
"LGA70400",236,
"LGA70540",176,
"LGA70570",191,
"LGA70600",776,
"LGA70700",1106,
"LGA70770",294,
"LGA70790",542,
"LGA71000",66290,
"LGA71350",423,
"LGA72000",1139,
"LGA72100",274,
"LGA72200",8191,
"LGA72240",882,
"LGA72270",672,
"LGA72300",15554,
"LGA72320",542,
"LGA72340",275,
"LGA72360",251,
"LGA72380",393,
"LGA72500",684,
"LGA72530",938,
"LGA72800",23716,
"LGA73030",343,
"LGA73650",220,
"LGA73800",2924,
"LGA74020",1930,
"LGA74030",226,
"LGA74050",2129,
"LGA74600",466,
"LGA74650",85,
"LGA74700",269,
"LGA75000",693,
"LGA75050",1641,
"LGA79399",30528,
"LGA79499",1901,
"LGA89399",323325,
"LGA89499",709,
"LGA99399",2290,
"LGA99499",25,
"Total",19855287,

"Dataset: Census of Population and Housing, 2006, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
