"SA3_CODE16","sex","age_group","calendar_year","number_of_enrolment","rate_of_enrolment"
10703,"female","18-24",2017,3774,0.5
10703,"female","18-24",2018,3758,0.5
10703,"female","18-24",2019,3830,0.5
10703,"female","18-24",2020,3636,0.5
10703,"female","18-24",2021,3510,0.5
10703,"female","18-24",2022,3647,0.5
10703,"male","18-24",2015,3162,0.5
10703,"male","18-24",2016,3769,0.6
10703,"male","18-24",2017,3839,0.6
10703,"male","18-24",2018,3802,0.6
10703,"male","18-24",2019,3945,0.6
10703,"male","18-24",2020,3690,0.6
10703,"male","18-24",2021,3580,0.6
10703,"male","18-24",2022,3744,0.6
10704,"female","18-24",2015,3562,0.5
10704,"female","18-24",2016,4001,0.5
10704,"female","18-24",2017,3961,0.5
10704,"female","18-24",2018,4042,0.5
10704,"female","18-24",2019,5938,0.6
10704,"female","18-24",2020,5694,0.6
10704,"female","18-24",2021,5669,0.6
10704,"female","18-24",2022,6027,0.6
10704,"male","18-24",2015,3608,0.6
10704,"male","18-24",2016,4192,0.6
10704,"male","18-24",2017,4148,0.6
10704,"male","18-24",2018,4164,0.6
10704,"male","18-24",2019,5823,0.5
10704,"male","18-24",2020,5560,0.5
10704,"male","18-24",2021,5457,0.5
10704,"male","18-24",2022,5718,0.5
10801,"female","18-24",2015,730,0.6
10801,"female","18-24",2016,804,0.5
10801,"female","18-24",2017,820,0.5
10801,"female","18-24",2018,815,0.5
10801,"female","18-24",2019,834,0.6
10801,"female","18-24",2020,760,0.5
10801,"female","18-24",2021,783,0.5
10801,"female","18-24",2022,773,0.5
10801,"male","18-24",2015,704,0.5
10801,"male","18-24",2016,822,0.6
10801,"male","18-24",2017,833,0.6
10801,"male","18-24",2018,823,0.6
10801,"male","18-24",2019,792,0.5
10801,"male","18-24",2020,783,0.6
10801,"male","18-24",2021,815,0.6
10801,"male","18-24",2022,816,0.6
10802,"female","18-24",2015,1132,0.5
10802,"female","18-24",2016,1424,0.5
10802,"female","18-24",2017,1451,0.5
10802,"female","18-24",2018,1439,0.5
10802,"female","18-24",2019,1405,0.5
10802,"female","18-24",2020,1348,0.5
10802,"female","18-24",2021,1402,0.5
10802,"female","18-24",2022,1416,0.5
10802,"male","18-24",2015,1144,0.6
10802,"male","18-24",2016,1457,0.6
10802,"male","18-24",2017,1549,0.6
10802,"male","18-24",2018,1521,0.6
10802,"male","18-24",2019,1530,0.6
10802,"male","18-24",2020,1487,0.6
10802,"male","18-24",2021,1441,0.6
10802,"male","18-24",2022,1479,0.6
10803,"female","18-24",2015,14,0.78
10803,"female","18-24",2016,16,0.76
10803,"female","18-24",2017,15,0.65
10803,"female","18-24",2018,12,0.6
10803,"female","18-24",2019,12,0.6
10803,"female","18-24",2020,11,0.65
10803,"female","18-24",2021,10,0.67
10803,"female","18-24",2022,12,0.6
10803,"male","18-24",2015,4,0.22
10803,"male","18-24",2016,5,0.24
10803,"male","18-24",2017,8,0.35
10803,"male","18-24",2018,8,0.4
10803,"male","18-24",2019,8,0.4
10803,"male","18-24",2020,6,0.35
10803,"male","18-24",2021,5,0.33
10803,"male","18-24",2022,8,0.4
10804,"female","18-24",2015,2083,0.6
10804,"female","18-24",2016,2413,0.6
10804,"female","18-24",2017,2489,0.6
10804,"female","18-24",2018,2575,0.6
10804,"female","18-24",2019,2649,0.6
10804,"female","18-24",2020,2541,0.6
10804,"female","18-24",2021,2516,0.6
10804,"female","18-24",2022,2748,0.6
10804,"male","18-24",2015,2041,0.5
10804,"male","18-24",2016,2354,0.5
10804,"male","18-24",2017,2418,0.5
10804,"male","18-24",2018,2467,0.5
10804,"male","18-24",2019,2564,0.5
10804,"male","18-24",2020,2406,0.5
10804,"male","18-24",2021,2431,0.5
10804,"male","18-24",2022,2627,0.5
10805,"female","18-24",2015,1498,0.5
10805,"female","18-24",2016,1661,0.5
10805,"female","18-24",2017,1673,0.5
10805,"female","18-24",2018,1615,0.5
10805,"female","18-24",2019,1599,0.5
10805,"female","18-24",2020,1503,0.5
10805,"female","18-24",2021,1443,0.5
10805,"female","18-24",2022,1543,0.5
10805,"male","18-24",2015,1513,0.6
10805,"male","18-24",2016,1818,0.6
10805,"male","18-24",2017,1748,0.6
10805,"male","18-24",2018,1646,0.6
10805,"male","18-24",2019,1695,0.6
10805,"male","18-24",2020,1533,0.6
10805,"male","18-24",2021,1508,0.6
10805,"male","18-24",2022,1606,0.6
10901,"female","18-24",2015,2195,0.6
10901,"female","18-24",2016,2404,0.5
10901,"female","18-24",2017,2383,0.5
10901,"female","18-24",2018,2409,0.6
10901,"female","18-24",2019,2404,0.6
10901,"female","18-24",2020,2205,0.6
10901,"female","18-24",2021,2052,0.6
10901,"female","18-24",2022,2254,0.6
10901,"male","18-24",2015,2066,0.5
10901,"male","18-24",2016,2410,0.6
10901,"male","18-24",2017,2430,0.6
10901,"male","18-24",2018,2358,0.5
10901,"male","18-24",2019,2303,0.5
10901,"male","18-24",2020,2089,0.5
10901,"male","18-24",2021,1860,0.5
10901,"male","18-24",2022,2043,0.5
10902,"female","18-24",2015,273,0.5
10902,"female","18-24",2016,298,0.5
10902,"female","18-24",2017,277,0.5
10902,"female","18-24",2018,296,0.5
10902,"female","18-24",2019,313,0.5
10902,"female","18-24",2020,301,0.5
10902,"female","18-24",2021,333,0.5
10902,"female","18-24",2022,347,0.6
10902,"male","18-24",2015,289,0.6
10902,"male","18-24",2016,350,0.6
10902,"male","18-24",2017,328,0.6
10902,"male","18-24",2018,322,0.6
10902,"male","18-24",2019,346,0.6
10902,"male","18-24",2020,316,0.6
10902,"male","18-24",2021,353,0.6
10902,"male","18-24",2022,343,0.5
10903,"female","18-24",2015,1095,0.5
10903,"female","18-24",2016,1226,0.5
10903,"female","18-24",2017,1191,0.5
10903,"female","18-24",2018,1149,0.5
10903,"female","18-24",2019,1188,0.6
10903,"female","18-24",2020,1135,0.5
10903,"female","18-24",2021,1207,0.6
10903,"female","18-24",2022,1269,0.6
10903,"male","18-24",2015,1111,0.6
10903,"male","18-24",2016,1270,0.6
10903,"male","18-24",2017,1261,0.6
10903,"male","18-24",2018,1200,0.6
10903,"male","18-24",2019,1184,0.5
10903,"male","18-24",2020,1150,0.6
10903,"male","18-24",2021,1162,0.5
10903,"male","18-24",2022,1250,0.5
11001,"female","18-24",2015,1583,0.6
11001,"female","18-24",2016,1746,0.6
11001,"female","18-24",2017,1706,0.6
11001,"female","18-24",2018,1608,0.6
11001,"female","18-24",2019,1566,0.6
11001,"female","18-24",2020,1437,0.6
11001,"female","18-24",2021,1354,0.6
11001,"female","18-24",2022,1370,0.6
11001,"male","18-24",2015,1426,0.5
11001,"male","18-24",2016,1614,0.5
11001,"male","18-24",2017,1580,0.5
11001,"male","18-24",2018,1496,0.5
11001,"male","18-24",2019,1492,0.5
11001,"male","18-24",2020,1385,0.5
11001,"male","18-24",2021,1295,0.5
11001,"male","18-24",2022,1338,0.5
11002,"female","18-24",2015,1103,0.6
11002,"female","18-24",2016,1231,0.5
11002,"female","18-24",2017,1231,0.5
11002,"female","18-24",2018,1154,0.5
11002,"female","18-24",2019,1109,0.5
11002,"female","18-24",2020,998,0.5
11002,"female","18-24",2021,968,0.5
11002,"female","18-24",2022,1091,0.6
11002,"male","18-24",2015,1067,0.5
11002,"male","18-24",2016,1291,0.6
11002,"male","18-24",2017,1281,0.6
11002,"male","18-24",2018,1252,0.6
11002,"male","18-24",2019,1202,0.6
11002,"male","18-24",2020,1107,0.6
11002,"male","18-24",2021,1073,0.6
11002,"male","18-24",2022,1067,0.5
11003,"female","18-24",2015,767,0.5
11003,"female","18-24",2016,854,0.5
11003,"female","18-24",2017,875,0.5
11003,"female","18-24",2018,875,0.5
11003,"female","18-24",2019,873,0.5
11003,"female","18-24",2020,831,0.5
11003,"female","18-24",2021,810,0.5
11003,"female","18-24",2022,845,0.5
11003,"male","18-24",2015,775,0.6
11003,"male","18-24",2016,896,0.6
11003,"male","18-24",2017,934,0.6
11003,"male","18-24",2018,934,0.6
11003,"male","18-24",2019,930,0.6
11003,"male","18-24",2020,873,0.6
11003,"male","18-24",2021,863,0.6
11003,"male","18-24",2022,888,0.6
11004,"female","18-24",2008,1655,0.6
11004,"female","18-24",2009,1634,0.6
11004,"female","18-24",2010,1622,0.6
11004,"female","18-24",2011,1639,0.6
11004,"female","18-24",2012,1512,0.5
11004,"female","18-24",2013,1572,0.6
11004,"female","18-24",2014,1622,0.6
11004,"female","18-24",2015,2665,0.6
11004,"female","18-24",2016,2980,0.6
11004,"female","18-24",2017,2968,0.5
11004,"female","18-24",2018,2985,0.5
11004,"female","18-24",2019,2967,0.5
11004,"female","18-24",2020,2820,0.5
11004,"female","18-24",2021,2814,0.5
11004,"female","18-24",2022,2932,0.5
11004,"male","18-24",2008,1621,0.5
11004,"male","18-24",2009,1603,0.5
11004,"male","18-24",2010,1566,0.5
11004,"male","18-24",2011,1628,0.5
11004,"male","18-24",2012,1528,0.6
11004,"male","18-24",2013,1539,0.5
11004,"male","18-24",2014,1600,0.5
11004,"male","18-24",2015,2548,0.5
11004,"male","18-24",2016,2973,0.5
11004,"male","18-24",2017,2995,0.6
11004,"male","18-24",2018,3012,0.6
11004,"male","18-24",2019,3007,0.6
11004,"male","18-24",2020,2954,0.6
11004,"male","18-24",2021,2883,0.6
