"SA4_CODE16","sex","age_group","year_range","rolling_average_fatally_injured_in_road_accident"
"311","all","0-16","2010-2014","0"
"311","all","0-16","2011-2015","0"
"311","all","0-16","2012-2016","0"
"311","all","0-16","2013-2017","0"
"311","all","0-16","2014-2018","0.2"
"311","all","0-16","2015-2019","0.2"
"311","all","0-16","2016-2020","0.4"
"311","all","0-16","2017-2021","0.4"
"311","all","0-16","2018-2022","1"
"312","all","0-16","2008-2012","0"
"312","all","0-16","2009-2013","0"
"312","all","0-16","2010-2014","0"
"312","all","0-16","2011-2015","0"
"312","all","0-16","2012-2016","0"
"312","all","0-16","2013-2017","0"
"312","all","0-16","2014-2018","0"
"312","all","0-16","2015-2019","0.4"
"312","all","0-16","2016-2020","0.8"
"312","all","0-16","2017-2021","1.2"
"312","all","0-16","2018-2022","1.4"
"313","all","0-16","2008-2012","0"
"313","all","0-16","2009-2013","0"
"313","all","0-16","2010-2014","0"
"313","all","0-16","2011-2015","0"
"313","all","0-16","2012-2016","0"
"313","all","0-16","2013-2017","0"
"313","all","0-16","2014-2018","0"
"313","all","0-16","2015-2019","0.2"
"313","all","0-16","2016-2020","0.4"
"313","all","0-16","2017-2021","0.4"
"313","all","0-16","2018-2022","0.4"
"315","all","0-16","2008-2012","0"
"315","all","0-16","2009-2013","0"
"315","all","0-16","2010-2014","0"
"315","all","0-16","2011-2015","0"
"315","all","0-16","2012-2016","0"
"315","all","0-16","2013-2017","0"
"315","all","0-16","2014-2018","0"
"315","all","0-16","2015-2019","0"
"315","all","0-16","2016-2020","0.2"
"315","all","0-16","2017-2021","0.4"
"315","all","0-16","2018-2022","0.8"
"316","all","0-16","2008-2012","0"
"316","all","0-16","2009-2013","0"
"316","all","0-16","2010-2014","0"
"316","all","0-16","2011-2015","0"
"316","all","0-16","2012-2016","0"
"316","all","0-16","2013-2017","0"
"316","all","0-16","2014-2018","0"
"316","all","0-16","2015-2019","0"
"316","all","0-16","2016-2020","0"
"316","all","0-16","2017-2021","0.2"
"316","all","0-16","2018-2022","0.6"
"317","all","0-16","2008-2012","0"
"317","all","0-16","2009-2013","0"
"317","all","0-16","2010-2014","0"
"317","all","0-16","2011-2015","0"
"317","all","0-16","2012-2016","0"
"317","all","0-16","2013-2017","0"
"317","all","0-16","2014-2018","0.2"
"317","all","0-16","2015-2019","0.2"
"317","all","0-16","2016-2020","0.2"
"317","all","0-16","2017-2021","0.2"
"317","all","0-16","2018-2022","0.2"
"318","all","0-16","2008-2012","0"
"318","all","0-16","2009-2013","0"
"318","all","0-16","2010-2014","0"
"318","all","0-16","2011-2015","0"
"318","all","0-16","2012-2016","0"
"318","all","0-16","2013-2017","0"
"318","all","0-16","2014-2018","0"
"318","all","0-16","2015-2019","0.4"
"318","all","0-16","2016-2020","0.8"
"318","all","0-16","2017-2021","1.2"
"318","all","0-16","2018-2022","1.4"
"319","all","0-16","2008-2012","0"
"319","all","0-16","2009-2013","0"
"319","all","0-16","2010-2014","0"
"319","all","0-16","2011-2015","0"
"319","all","0-16","2012-2016","0"
"319","all","0-16","2013-2017","0"
"319","all","0-16","2014-2018","0.6"
"319","all","0-16","2015-2019","0.6"
"319","all","0-16","2016-2020","0.6"
"319","all","0-16","2017-2021","0.6"
"319","all","0-16","2018-2022","0.8"
"401","all","0-16","2008-2012","0"
"401","all","0-16","2009-2013","0"
"401","all","0-16","2010-2014","0"
"401","all","0-16","2011-2015","0"
"401","all","0-16","2012-2016","0"
"401","all","0-16","2013-2017","0"
"401","all","0-16","2014-2018","0"
"401","all","0-16","2015-2019","0"
"401","all","0-16","2016-2020","0.2"
"401","all","0-16","2017-2021","0.4"
"401","all","0-16","2018-2022","0.6"
"402","all","0-16","2008-2012","0"
"402","all","0-16","2009-2013","0"
"402","all","0-16","2010-2014","0.2"
"402","all","0-16","2011-2015","0.4"
"402","all","0-16","2012-2016","0.8"
"402","all","0-16","2013-2017","0.8"
"402","all","0-16","2014-2018","0.8"
"402","all","0-16","2015-2019","0.8"
"402","all","0-16","2016-2020","0.6"
"402","all","0-16","2017-2021","0.2"
"402","all","0-16","2018-2022","0.2"
"403","all","0-16","2008-2012","0"
"403","all","0-16","2009-2013","0"
"403","all","0-16","2010-2014","0"
"403","all","0-16","2011-2015","0"
"403","all","0-16","2012-2016","0"
"403","all","0-16","2013-2017","0.2"
"403","all","0-16","2014-2018","0.2"
"403","all","0-16","2015-2019","0.4"
