"SA2_NAME","3_yr_olds_preschool_attendance_2014","4_yr_olds_preschool_attendance_2014","5_yr_olds_preschool_attendance_2014","3_yr_olds_preschool_attendance_2015","4_yr_olds_preschool_attendance_2015","5_yr_olds_preschool_attendanc_2015","6_yr_olds_preschool_attendance_2015","3_yr_olds_preschool_attendance_2016","4_yr_olds_preschool_attendance_2016","5_yr_olds_preschool_attendance_2016","6_yr_olds_preschool_attendance_2016","3_yr_olds_preschool_attendance_2017","4_yr_olds_preschool_attendance_2017","5_yr_olds_preschool_attendance_2017","6_yr_olds_preschool_attendance_2017","3_yr_olds_preschool_attendance_2018","4_yr_olds_preschool_attendance_2018","5_yr_olds_preschool_attendance_2018","6_yr_olds_preschool_attendance_2018","3_yr_olds_preschool_attendance_2019","4_yr_olds_preschool_attendance_2019","5_yr_olds_preschool_attendance_2019","6_yr_olds_preschool_attendance_2019","3_yr_olds_preschool_attendance_2020","4_yr_olds_preschool_attendance_2020","5_yr_olds_preschool_attendance_2020","6_yr_olds_preschool_attendance_2020","3_yr_olds_preschool_attendance_2021","4_yr_olds_preschool_attendance_2021","5_yr_olds_preschool_attendance_2021","6_yr_olds_preschool_attendance_2021"
"Statistical area level 2 (SA2) of child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beachmere - Sandstone Point",0,138,8,0,158,4,0,0,176,7,0,0,159,3,0,0,95,3,0,0,101,0,0,0,95,11,0,0,101,4,0
"Bribie Island",0,158,0,0,102,7,0,0,132,0,0,0,106,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burpengary - East",0,22,6,0,50,0,0,0,37,0,0,0,56,0,0,0,132,3,0,0,147,6,0,0,137,7,0,0,173,8,0
"Caboolture",0,375,3,0,402,12,0,0,430,10,0,0,342,16,0,0,136,6,0,0,160,10,0,0,164,6,0,0,129,6,0
"Caboolture - South",0,355,12,0,402,0,0,0,393,7,0,0,358,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elimbah",0,46,0,0,40,6,0,0,65,5,0,0,36,0,0,0,360,14,0,0,390,12,0,0,393,20,0,0,387,16,0
"Morayfield - East",0,84,3,0,132,0,0,0,159,6,0,0,108,5,0,0,100,7,0,0,112,6,0,0,100,3,0,0,117,6,0
"Wamuran",0,64,0,0,34,0,0,0,94,0,0,0,41,0,0,0,327,18,0,0,363,31,0,0,380,25,0,0,405,13,0
"Kilcoy",0,54,0,0,48,0,0,0,40,0,0,0,61,3,0,0,129,0,0,0,136,3,0,0,122,3,0,0,140,7,0
"Woodford - D'Aguilar",0,69,0,0,80,0,0,0,76,0,0,0,68,4,0,0,84,6,0,0,95,3,0,0,59,7,0,0,73,4,0
"Burpengary",0,234,5,0,191,0,0,0,219,0,0,0,164,7,0,0,183,8,0,0,169,3,0,0,167,4,0,0,180,6,0
"Deception Bay",0,322,11,0,300,8,0,0,310,4,0,0,276,14,0,0,131,6,0,0,136,4,0,0,124,0,0,0,140,3,0
"Morayfield",0,79,3,0,53,0,0,0,50,0,0,0,38,0,0,0,73,0,0,0,47,0,0,0,66,3,0,0,55,0,0
"Narangba",0,319,8,0,330,3,0,0,289,5,0,0,273,13,0,0,76,3,0,0,90,4,0,0,99,3,0,0,103,6,0
"Upper Caboolture",0,35,0,0,28,0,0,0,35,0,0,0,43,0,0,0,175,0,0,0,197,15,0,0,172,3,0,0,213,8,0
"Clontarf",0,97,4,0,94,5,0,0,106,6,0,0,72,0,0,0,117,5,0,0,99,0,0,0,113,5,0,0,86,0,0
"Margate - Woody Point",0,130,0,0,133,6,0,0,130,8,0,0,108,3,0,0,58,3,0,0,90,0,0,0,105,5,0,0,106,4,0
"Redcliffe",0,72,0,0,114,3,0,0,90,0,0,0,92,4,0,0,162,7,0,0,202,5,0,0,183,3,0,0,167,5,0
"Rothwell - Kippa-Ring",0,204,9,0,262,3,0,0,191,8,0,0,205,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scarborough - Newport",0,96,4,0,125,5,0,0,103,3,0,0,100,5,0,0,101,0,0,0,106,6,0,0,98,3,0,0,88,4,0
"Albany Creek",0,244,6,0,218,10,0,0,197,10,0,0,173,9,0,0,187,7,0,0,245,9,0,0,196,9,0,0,224,9,0
"Cashmere",0,319,14,0,335,10,0,0,346,21,0,0,306,15,0,0,40,0,0,0,43,0,0,0,40,0,0,0,42,3,0
"Dayboro",0,114,8,0,136,3,0,0,97,0,0,0,113,5,0,0,161,8,0,0,213,8,0,0,210,4,0,0,199,5,0
