SA1_MAINCODE_2011,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
50607114608,514,Swan,1,Good,Good,0
50607114609,514,Swan,1,Good,Good,0
50607114610,514,Swan,1,Good,Good,0
50607114611,514,Swan,1,Good,Good,0
50607114612,514,Swan,1,Good,Good,0
50607114613,514,Swan,1,Good,Good,0
50607114614,514,Swan,1,Good,Good,0
50607114615,514,Swan,1,Good,Good,0
50607114616,514,Swan,1,Good,Good,0
50607114617,514,Swan,1,Good,Good,0
50607114618,514,Swan,1,Good,Good,0
50607114619,514,Swan,1,Good,Good,0
50607114620,514,Swan,1,Good,Good,0
50607114621,514,Swan,1,Good,Good,0
50607114622,514,Swan,1,Good,Good,0
50607114623,514,Swan,1,Good,Good,0
50607114624,514,Swan,1,Good,Good,0
50607114625,514,Swan,1,Good,Good,0
50607114626,514,Swan,1,Good,Good,0
50607114627,514,Swan,1,Good,Good,0
50607114628,514,Swan,1,Good,Good,0
50607114629,514,Swan,1,Good,Good,0
50607114630,514,Swan,1,Good,Good,0
50607114701,514,Swan,1,Good,Good,0
50607114702,514,Swan,1,Good,Good,0
50607114703,514,Swan,1,Good,Good,0
50607114704,514,Swan,1,Good,Good,0
50607114705,514,Swan,1,Good,Good,0
50607114706,514,Swan,1,Good,Good,0
50607114707,514,Swan,1,Good,Good,0
50607114708,514,Swan,1,Good,Good,0
50607114709,514,Swan,1,Good,Good,0
50607114710,514,Swan,1,Good,Good,0
50607114711,514,Swan,1,Good,Good,0
50607114712,514,Swan,1,Good,Good,0
50607114713,514,Swan,1,Good,Good,0
50607114714,514,Swan,1,Good,Good,0
50607114715,514,Swan,1,Good,Good,0
50607114716,514,Swan,1,Good,Good,0
50607114717,514,Swan,1,Good,Good,0
50607114718,514,Swan,1,Good,Good,0
50607114719,514,Swan,1,Good,Good,0
50607114720,514,Swan,1,Good,Good,0
50607114721,514,Swan,1,Good,Good,0
50607114722,514,Swan,1,Good,Good,0
50607114723,514,Swan,1,Good,Good,0
50607114724,514,Swan,1,Good,Good,0
50607114725,514,Swan,1,Good,Good,0
50607114726,514,Swan,1,Good,Good,0
50607114727,514,Swan,1,Good,Good,0
50607114728,514,Swan,1,Good,Good,0
50607114729,514,Swan,1,Good,Good,0
50607114730,514,Swan,1,Good,Good,0
50607114731,514,Swan,1,Good,Good,0
50607114732,514,Swan,1,Good,Good,0
50607114733,514,Swan,1,Good,Good,0
50607114734,514,Swan,1,Good,Good,0
50607114735,514,Swan,1,Good,Good,0
50607114736,514,Swan,1,Good,Good,0
50607114737,514,Swan,1,Good,Good,0
50607114738,514,Swan,1,Good,Good,0
50607114739,514,Swan,1,Good,Good,0
50607114740,514,Swan,1,Good,Good,0
50607114741,514,Swan,1,Good,Good,0
50607114742,514,Swan,1,Good,Good,0
50607114743,514,Swan,1,Good,Good,0
50701114801,508,Fremantle,1,Good,Good,0
50701114802,508,Fremantle,1,Good,Good,0
50701114803,508,Fremantle,1,Good,Good,0
50701114804,508,Fremantle,1,Good,Good,0
50701114805,508,Fremantle,1,Good,Good,0
50701114806,508,Fremantle,1,Good,Good,0
50701114807,508,Fremantle,1,Good,Good,0
50701114808,508,Fremantle,1,Good,Good,0
50701114809,508,Fremantle,1,Good,Good,0
50701114810,508,Fremantle,1,Good,Good,0
50701114811,508,Fremantle,1,Good,Good,0
50701114812,508,Fremantle,1,Good,Good,0
50701114813,508,Fremantle,1,Good,Good,0
50701114814,508,Fremantle,1,Good,Good,0
50701114815,508,Fremantle,1,Good,Good,0
50701114816,508,Fremantle,1,Good,Good,0
50701114817,508,Fremantle,1,Good,Good,0
50701114818,508,Fremantle,1,Good,Good,0
50701114819,508,Fremantle,1,Good,Good,0
50701114820,508,Fremantle,1,Good,Good,0
50701114901,508,Fremantle,1,Good,Good,0
50701114902,508,Fremantle,1,Good,Good,0
50701114903,508,Fremantle,1,Good,Good,0
50701114904,508,Fremantle,1,Good,Good,0
50701114905,508,Fremantle,1,Good,Good,0
