SA1_MAINCODE_2011,SA1_UID_2011,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10102101210,313,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101211,314,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101212,315,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101213,316,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101214,317,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101215,318,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101216,319,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101217,320,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101218,321,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101219,322,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101220,323,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101221,324,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101222,325,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101223,326,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101224,327,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101225,328,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101226,329,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101227,330,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101228,331,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101229,332,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101230,333,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101231,334,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10102101232,335,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10103101301,336,17040,Snowy Monaro Regional,1,Good,Good,0
10103101302,337,17040,Snowy Monaro Regional,1,Good,Good,0
10103101303,338,17040,Snowy Monaro Regional,1,Good,Good,0
10103101304,339,17040,Snowy Monaro Regional,1,Good,Good,0
10103101305,340,17040,Snowy Monaro Regional,1,Good,Good,0
10103101306,341,17040,Snowy Monaro Regional,1,Good,Good,0
10103101307,342,17040,Snowy Monaro Regional,1,Good,Good,0
10103101308,343,17040,Snowy Monaro Regional,1,Good,Good,0
10103101401,344,17040,Snowy Monaro Regional,1,Good,Good,0
10103101402,345,17040,Snowy Monaro Regional,1,Good,Good,0
10103101403,346,17040,Snowy Monaro Regional,1,Good,Good,0
10103101404,347,17040,Snowy Monaro Regional,1,Good,Good,0
10103101405,348,17040,Snowy Monaro Regional,1,Good,Good,0
10103101406,349,17040,Snowy Monaro Regional,1,Good,Good,0
10103101407,350,17040,Snowy Monaro Regional,1,Good,Good,0
10103101408,351,17040,Snowy Monaro Regional,1,Good,Good,0
10103101409,352,17040,Snowy Monaro Regional,1,Good,Good,0
10103101410,353,17040,Snowy Monaro Regional,1,Good,Good,0
10103101411,354,17040,Snowy Monaro Regional,1,Good,Good,0
10103101412,355,17040,Snowy Monaro Regional,1,Good,Good,0
10103101413,356,17040,Snowy Monaro Regional,1,Good,Good,0
10103101414,357,17040,Snowy Monaro Regional,1,Good,Good,0
10103101415,358,17040,Snowy Monaro Regional,1,Good,Good,0
10103101416,359,17040,Snowy Monaro Regional,1,Good,Good,0
10103101417,360,17040,Snowy Monaro Regional,1,Good,Good,0
10103101418,361,17040,Snowy Monaro Regional,1,Good,Good,0
10103101501,362,17040,Snowy Monaro Regional,1,Good,Good,0
10103101502,363,17040,Snowy Monaro Regional,1,Good,Good,0
10103101503,364,17040,Snowy Monaro Regional,1,Good,Good,0
10103101504,365,17040,Snowy Monaro Regional,1,Good,Good,0
10103101505,366,17040,Snowy Monaro Regional,1,Good,Good,0
10103101506,367,17040,Snowy Monaro Regional,1,Good,Good,0
10103101507,368,17040,Snowy Monaro Regional,1,Good,Good,0
10103101508,369,17040,Snowy Monaro Regional,1,Good,Good,0
10103101509,370,17040,Snowy Monaro Regional,1,Good,Good,0
10103101510,371,17040,Snowy Monaro Regional,1,Good,Good,0
10103101511,372,17040,Snowy Monaro Regional,1,Good,Good,0
10103101512,373,17040,Snowy Monaro Regional,1,Good,Good,0
10103101513,374,17040,Snowy Monaro Regional,1,Good,Good,0
10103101601,375,17040,Snowy Monaro Regional,1,Good,Good,0
10103101602,376,17040,Snowy Monaro Regional,1,Good,Good,0
10103101603,377,17040,Snowy Monaro Regional,1,Good,Good,0
10103101604,378,17040,Snowy Monaro Regional,1,Good,Good,0
10103101605,379,17040,Snowy Monaro Regional,1,Good,Good,0
10103101606,380,17040,Snowy Monaro Regional,1,Good,Good,0
10103101607,381,17040,Snowy Monaro Regional,1,Good,Good,0
10103101608,382,17040,Snowy Monaro Regional,1,Good,Good,0
10103101609,383,17040,Snowy Monaro Regional,1,Good,Good,0
10103101610,384,17040,Snowy Monaro Regional,1,Good,Good,0
10103101611,385,17040,Snowy Monaro Regional,1,Good,Good,0
10103101612,386,17040,Snowy Monaro Regional,1,Good,Good,0
10103101613,387,17040,Snowy Monaro Regional,1,Good,Good,0
10103101614,388,17040,Snowy Monaro Regional,1,Good,Good,0
10103101615,389,17040,Snowy Monaro Regional,1,Good,Good,0
