LOCALITY_PID_2021,LOCALITY_NAME_2021,CED_CODE_2021,CED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1110,COWPER,133,Page,1,Good,Good,0
NSW1111,COWRA,139,Riverina,1,Good,Good,0
NSW1112,COXS CREEK,107,Calare,1,Good,Good,0
NSW1113,COXS CROWN,107,Calare,1,Good,Good,0
NSW1114,CRABBES CREEK,138,Richmond,1,Good,Good,0
NSW1115,CRACKENBACK,113,Eden-Monaro,1,Good,Good,0
NSW1116,CRAIGIE,113,Eden-Monaro,1,Good,Good,0
NSW1117,CRANEBROOK,123,Lindsay,1,Good,Good,0
NSW1118,CRANGAN BAY,141,Shortland,1,Good,Good,0
NSW1119,CRAVEN,124,Lyne,1,Good,Good,0
NSW112,AVISFORD,107,Calare,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,124,Lyne,1,Good,Good,0
NSW1121,CRAWFORD RIVER,124,Lyne,1,Good,Good,0
NSW1122,CRAWNEY,130,New England,1,Good,Good,0
NSW1123,CREEWAH,113,Eden-Monaro,1,Good,Good,0
NSW1124,CREMORNE,143,Warringah,0.3445007,Acceptable,Good,0
NSW1124,CREMORNE,132,North Sydney,0.6554993,Good,Good,0
NSW1125,CREMORNE POINT,143,Warringah,1,Acceptable,Good,0
NSW1126,CRESCENT HEAD,110,Cowper,1,Good,Good,0
NSW1127,CRESTWOOD,113,Eden-Monaro,1,Good,Good,0
NSW1128,CRINGILA,111,Cunningham,4.70E-06,Good,Good,1
NSW1128,CRINGILA,147,Whitlam,0.9999953,Good,Good,0
NSW1129,CROKI,124,Lyne,1,Good,Good,0
NSW113,AVOCA,147,Whitlam,1,Good,Good,0
NSW1130,CROMER,126,Mackellar,1,Good,Good,0
NSW1131,CRONULLA,109,Cook,1,Good,Good,0
NSW1132,CROOBLE,134,Parkes,1,Good,Good,0
NSW1133,CROOBYAR,116,Gilmore,1,Good,Good,0
NSW1134,CROOKED CORNER,120,Hume,1,Good,Good,0
NSW1135,CROOKWELL,120,Hume,1,Good,Good,0
NSW1136,CROOM,116,Gilmore,0.3423399,Good,Good,0
NSW1136,CROOM,147,Whitlam,0.6576601,Good,Good,0
NSW1137,CROPPA CREEK,134,Parkes,1,Good,Good,0
NSW1138,CROSS ROADS,107,Calare,1,Good,Good,0
NSW1139,CROSSLANDS,124,Lyne,1,Good,Good,0
NSW114,AVOCA BEACH,140,Robertson,1,Good,Good,0
NSW1140,CROUDACE BAY,141,Shortland,1,Good,Good,0
NSW1142,CROWDY HEAD,124,Lyne,1,Good,Good,0
NSW1143,CROWS NEST,132,North Sydney,1,Good,Good,0
NSW1144,CROWTHER,139,Riverina,1,Good,Good,0
NSW1145,CROWTHER ISLAND,133,Page,1,Good,Good,0
NSW1146,CROYDON,144,Watson,0.2140663,Acceptable,Good,0
NSW1146,CROYDON,137,Reid,0.7859337,Good,Good,0
NSW1147,CROYDON PARK,144,Watson,1,Acceptable,Good,0
NSW1148,CRUDINE,107,Calare,1,Good,Good,0
NSW1149,CRYON,134,Parkes,1,Good,Good,0
NSW115,AVON,147,Whitlam,1,Good,Good,0
NSW1150,CRYSTAL CREEK,138,Richmond,1,Good,Good,0
NSW1151,CUBBA,134,Parkes,1,Good,Good,0
NSW1152,CUDAL,107,Calare,1,Good,Good,0
NSW1153,CUDGEGONG,107,Calare,1,Good,Good,0
NSW1154,CUDGEL,114,Farrer,1,Good,Good,0
NSW1155,CUDGEN,138,Richmond,1,Good,Good,0
NSW1156,CUDGERA CREEK,138,Richmond,1,Good,Good,0
NSW1157,CUDMIRRAH,116,Gilmore,1,Good,Good,0
NSW1158,CULBURRA BEACH,116,Gilmore,1,Good,Good,0
NSW1159,CULCAIRN,114,Farrer,1,Good,Good,0
