LOCALITY_PID,LOCALITY_NAME,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1104,COURAGAGO,10501901,Tumut,1,Good,Good,0
NSW1105,COURIDJAH,10702901,Wollondilly,1,Good,Good,0
NSW1106,COUTTS CROSSING,10400402,Clarence Valley,0.4713015,Good,Good,0
NSW1106,COUTTS CROSSING,10400403,Grafton,0.5286985,Good,Good,0
NSW1107,COW FLAT,10500301,Bathurst,1,Good,Good,0
NSW1108,COWABBIE,10500701,Coolamon - Temora - West Wyalong,1,Good,Good,0
NSW1109,COWAN,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
NSW1110,COWPER,10400405,Yamba - Surrounds,1,Good,Good,0
NSW1111,COWRA,10500901,Cowra,1,Good,Good,0
NSW1112,COXS CREEK,10501601,Mudgee,1,Good,Good,0
NSW1113,COXS CROWN,10501601,Mudgee,1,Good,Good,0
NSW1114,CRABBES CREEK,10402001,Murwillumbah,1,Good,Good,0
NSW1115,CRACKENBACK,10600402,Snowy - Monaro,1,Good,Good,0
NSW1116,CRAIGIE,10600402,Snowy - Monaro,1,Good,Good,0
NSW1117,CRANEBROOK,10702201,Cranebrook - Londonberry,1,Good,Good,0
NSW1118,CRANGAN BAY,10402201,Lake Macquarie - East,0.0065449,Good,Good,1
NSW1118,CRANGAN BAY,10402301,Wyong - North-East,0.9934551,Good,Good,0
NSW1119,CRAVEN,10400602,Gloucester,1,Good,Good,0
NSW112,AVISFORD,10501601,Mudgee,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,10400602,Gloucester,1,Good,Good,0
NSW1121,CRAWFORD RIVER,10400801,Bulahdelah,1,Good,Good,0
NSW1122,CRAWNEY,10201102,Tamworth - Surrounds,0.7793657,Good,Good,0
NSW1122,CRAWNEY,10201301,Upper Hunter,0.2206343,Good,Good,0
NSW1123,CREEWAH,10600402,Snowy - Monaro,1,Good,Good,0
NSW1124,CREMORNE,10702802,Mosman - North Sydney,1,Good,Good,0
NSW1125,CREMORNE POINT,10702802,Mosman - North Sydney,1,Good,Good,0
NSW1126,CRESCENT HEAD,10400902,Kempsey - Surrounds,1,Good,Good,0
NSW1127,CRESTWOOD,10600401,Queanbeyan,1,Good,Good,0
NSW1128,CRINGILA,10703001,Wollongong,1,Good,Good,0
NSW1129,CROKI,10401903,Taree - Surrounds,1,Good,Good,0
NSW113,AVOCA,10600503,Wingecaribee,1,Good,Good,0
NSW1130,CROMER,10702001,Manly - Warringah,1,Good,Good,0
NSW1131,CRONULLA,10702501,Sutherland Shire - East,1,Good,Good,0
NSW1132,CROOBLE,10200802,Moree Plains,1,Poor,Good,0
NSW1133,CROOBYAR,10600303,Shoalhaven,1,Good,Good,0
NSW1134,CROOKED CORNER,10600502,Southern Tablelands,1,Good,Good,0
NSW1135,CROOKWELL,10600502,Southern Tablelands,1,Good,Good,0
NSW1136,CROOM,10701501,Kiama,0.3423399,Good,Good,0
NSW1136,CROOM,10701502,Shellharbour,0.6576601,Good,Good,0
NSW1137,CROPPA CREEK,10200501,Gwydir,0.9112164,Good,Good,0
NSW1137,CROPPA CREEK,10200802,Moree Plains,0.0887836,Poor,Good,0
NSW1138,CROSS ROADS,10501601,Mudgee,1,Good,Good,0
NSW1139,CROSSLANDS,10401503,Wauchope,1,Good,Good,0
NSW114,AVOCA BEACH,10400701,Gosford - East,1,Good,Good,0
NSW1140,CROUDACE BAY,10402201,Lake Macquarie - East,1,Good,Good,0
NSW1142,CROWDY HEAD,10401903,Taree - Surrounds,1,Good,Good,0
NSW1143,CROWS NEST,10702802,Mosman - North Sydney,1,Good,Good,0
NSW1144,CROWTHER,10502201,Young,1,Good,Good,0
NSW1145,CROWTHER ISLAND,10400403,Grafton,1,Good,Good,0
NSW1146,CROYDON,10702701,Ashfield,0.3959499,Good,Good,0
NSW1146,CROYDON,10702702,Burwood,0.6040501,Acceptable,Good,0
NSW1147,CROYDON PARK,10700804,Canterbury,0.3808096,Acceptable,Good,0
NSW1147,CROYDON PARK,10702701,Ashfield,0.0773226,Good,Good,0
NSW1147,CROYDON PARK,10702702,Burwood,0.5418678,Acceptable,Good,0
NSW1148,CRUDINE,10500301,Bathurst,0.5998834,Good,Good,0
NSW1148,CRUDINE,10501601,Mudgee,0.4001166,Good,Good,0
NSW1149,CRYON,10300609,Walgett - Surrounds,1,Poor,Good,0
NSW115,AVON,10600503,Wingecaribee,1,Good,Good,0
NSW1150,CRYSTAL CREEK,10402001,Murwillumbah,1,Good,Good,0
NSW1151,CUBBA,10300301,Cobar,1,Good,Good,0
NSW1152,CUDAL,10500401,Blayney - Cabonne,1,Good,Good,0
NSW1153,CUDGEGONG,10501601,Mudgee,1,Good,Good,0
NSW1154,CUDGEL,10501202,Leeton,1,Good,Good,0
NSW1155,CUDGEN,10402003,Tweed Heads,1,Good,Good,0
NSW1156,CUDGERA CREEK,10402002,Tweed Coast,1,Good,Good,0
NSW1157,CUDMIRRAH,10600303,Shoalhaven,1,Good,Good,0
NSW1158,CULBURRA BEACH,10600301,Culburra - Orient Point,0.9999898,Good,Good,0
NSW1158,CULBURRA BEACH,10600303,Shoalhaven,1.02E-05,Good,Good,1
NSW1159,CULCAIRN,10502001,Upper Murray,1,Good,Good,0
NSW116,AVONDALE,10703001,Wollongong,1,Good,Good,0
NSW1160,CULLEN BULLEN,10501501,Lithgow,1,Good,Good,0
NSW1161,CULLENBONE,10501601,Mudgee,1,Good,Good,0
NSW1162,CULLENDORE,10201202,Tenterfield,1,Good,Good,0
NSW1163,CULLERIN,10600502,Southern Tablelands,1,Good,Good,0
NSW1164,CULLIVEL,10502001,Upper Murray,1,Good,Good,0
NSW1165,CULMARAN CREEK,10401001,Kyogle,1,Good,Good,0
NSW1166,CUMBALUM,10400103,Ballina - Surrounds,1,Good,Good,0
NSW1167,CUMBANDRY,10501601,Mudgee,1,Good,Good,0
NSW1168,CUMBERLAND REACH,10701001,Hawkesbury,1,Good,Good,0
NSW117,AVONSIDE,10600402,Snowy - Monaro,1,Good,Good,0
NSW1170,CUMBO,10501601,Mudgee,1,Good,Good,0
NSW1171,CUMBORAH,10300609,Walgett - Surrounds,1,Poor,Good,0
NSW1172,CUMNOCK,10500401,Blayney - Cabonne,1,Good,Good,0
NSW1173,CUNDLE FLAT,10401903,Taree - Surrounds,1,Good,Good,0
NSW1174,CUNDLETOWN,10401902,Taree,0.9438132,Good,Good,0
NSW1174,CUNDLETOWN,10401903,Taree - Surrounds,0.0561868,Good,Good,0
NSW1175,CUNDUMBUL,10100802,Wellington - Surrounds,1,Good,Good,0
NSW1176,CUNJURONG POINT,10600303,Shoalhaven,1,Good,Good,0
NSW1177,CUNNINYEUK,10500601,Central Murray,1,Good,Good,0
NSW1178,CURBAN,10100301,Gilgandra,1,Good,Good,0
NSW1179,CURL CURL,10702001,Manly - Warringah,1,Good,Good,0
