LOCALITY_PID_2021,LOCALITY_NAME_2021,RA_CODE_2016,RA_NAME_2016,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1118,CRANGAN BAY,11,Inner Regional Australia,0.0065449,Good,Good,1
NSW1118,CRANGAN BAY,10,Major Cities of Australia,0.9934551,Good,Good,0
NSW1119,CRAVEN,12,Outer Regional Australia,1,Good,Good,0
NSW112,AVISFORD,12,Outer Regional Australia,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,12,Outer Regional Australia,1,Good,Good,0
NSW1121,CRAWFORD RIVER,11,Inner Regional Australia,1,Good,Good,0
NSW1122,CRAWNEY,12,Outer Regional Australia,1,Good,Good,0
NSW1123,CREEWAH,12,Outer Regional Australia,1,Good,Good,0
NSW1124,CREMORNE,10,Major Cities of Australia,1,Good,Good,0
NSW1125,CREMORNE POINT,10,Major Cities of Australia,1,Good,Good,0
NSW1126,CRESCENT HEAD,12,Outer Regional Australia,1,Good,Good,0
NSW1127,CRESTWOOD,10,Major Cities of Australia,1,Good,Good,0
NSW1128,CRINGILA,10,Major Cities of Australia,1,Good,Good,0
NSW1129,CROKI,11,Inner Regional Australia,1,Good,Good,0
NSW113,AVOCA,11,Inner Regional Australia,1,Good,Good,0
NSW1130,CROMER,10,Major Cities of Australia,1,Good,Good,0
NSW1131,CRONULLA,10,Major Cities of Australia,1,Good,Good,0
NSW1132,CROOBLE,12,Outer Regional Australia,1,Good,Good,0
NSW1133,CROOBYAR,11,Inner Regional Australia,1,Good,Good,0
NSW1134,CROOKED CORNER,12,Outer Regional Australia,1,Good,Good,0
NSW1135,CROOKWELL,11,Inner Regional Australia,1,Good,Good,0
NSW1136,CROOM,11,Inner Regional Australia,1,Good,Good,0
NSW1137,CROPPA CREEK,12,Outer Regional Australia,1,Good,Good,0
NSW1138,CROSS ROADS,12,Outer Regional Australia,1,Good,Good,0
NSW1139,CROSSLANDS,11,Inner Regional Australia,1,Good,Good,0
NSW114,AVOCA BEACH,10,Major Cities of Australia,1,Good,Good,0
NSW1140,CROUDACE BAY,10,Major Cities of Australia,1,Good,Good,0
NSW1142,CROWDY HEAD,11,Inner Regional Australia,1,Good,Good,0
NSW1143,CROWS NEST,10,Major Cities of Australia,1,Good,Good,0
NSW1144,CROWTHER,12,Outer Regional Australia,1,Good,Good,0
NSW1145,CROWTHER ISLAND,11,Inner Regional Australia,1,Good,Good,0
NSW1146,CROYDON,10,Major Cities of Australia,1,Good,Good,0
NSW1147,CROYDON PARK,10,Major Cities of Australia,1,Good,Good,0
NSW1148,CRUDINE,12,Outer Regional Australia,1,Good,Good,0
NSW1149,CRYON,13,Remote Australia,1,Good,Good,0
NSW115,AVON,11,Inner Regional Australia,1,Good,Good,0
NSW1150,CRYSTAL CREEK,11,Inner Regional Australia,1,Good,Good,0
NSW1151,CUBBA,14,Very Remote Australia,1,Good,Good,0
NSW1152,CUDAL,12,Outer Regional Australia,1,Good,Good,0
NSW1153,CUDGEGONG,12,Outer Regional Australia,1,Good,Good,0
NSW1154,CUDGEL,12,Outer Regional Australia,1,Good,Good,0
NSW1155,CUDGEN,10,Major Cities of Australia,1,Good,Good,0
NSW1156,CUDGERA CREEK,11,Inner Regional Australia,1,Good,Good,0
NSW1157,CUDMIRRAH,11,Inner Regional Australia,1,Good,Good,0
NSW1158,CULBURRA BEACH,11,Inner Regional Australia,1,Good,Good,0
NSW1159,CULCAIRN,11,Inner Regional Australia,1,Good,Good,0
NSW116,AVONDALE,11,Inner Regional Australia,0.1107805,Good,Good,0
NSW116,AVONDALE,10,Major Cities of Australia,0.8892195,Good,Good,0
NSW1160,CULLEN BULLEN,11,Inner Regional Australia,1,Good,Good,0
NSW1161,CULLENBONE,12,Outer Regional Australia,1,Good,Good,0
NSW1162,CULLENDORE,12,Outer Regional Australia,1,Good,Good,0
NSW1163,CULLERIN,11,Inner Regional Australia,1,Good,Good,0
NSW1164,CULLIVEL,12,Outer Regional Australia,1,Good,Good,0
NSW1165,CULMARAN CREEK,12,Outer Regional Australia,1,Good,Good,0
NSW1166,CUMBALUM,11,Inner Regional Australia,1,Good,Good,0
NSW1167,CUMBANDRY,12,Outer Regional Australia,1,Good,Good,0
NSW1168,CUMBERLAND REACH,11,Inner Regional Australia,1,Good,Good,0
NSW117,AVONSIDE,12,Outer Regional Australia,1,Good,Good,0
NSW1170,CUMBO,12,Outer Regional Australia,1,Good,Good,0
NSW1171,CUMBORAH,14,Very Remote Australia,1,Good,Good,0
NSW1172,CUMNOCK,12,Outer Regional Australia,1,Good,Good,0
NSW1173,CUNDLE FLAT,12,Outer Regional Australia,1,Good,Good,0
NSW1174,CUNDLETOWN,11,Inner Regional Australia,1,Good,Good,0
NSW1175,CUNDUMBUL,12,Outer Regional Australia,1,Good,Good,0
NSW1176,CUNJURONG POINT,11,Inner Regional Australia,1,Good,Good,0
NSW1177,CUNNINYEUK,12,Outer Regional Australia,1,Good,Good,0
NSW1178,CURBAN,12,Outer Regional Australia,1,Good,Good,0
NSW1179,CURL CURL,10,Major Cities of Australia,1,Good,Good,0
NSW118,AWABA,10,Major Cities of Australia,1,Good,Good,0
NSW1180,CURLEW WATERS,13,Remote Australia,1,Good,Good,0
NSW1181,CURLEWIS,12,Outer Regional Australia,1,Good,Good,0
NSW1182,CURLWAA,12,Outer Regional Australia,1,Good,Good,0
NSW1183,CURRA CREEK,12,Outer Regional Australia,1,Good,Good,0
NSW1184,CURRABUBULA,11,Inner Regional Australia,0.0065397,Good,Good,1
NSW1184,CURRABUBULA,12,Outer Regional Australia,0.9934603,Good,Good,0
NSW1185,CURRAGH,12,Outer Regional Australia,1,Good,Good,0
NSW1186,CURRAMORE,11,Inner Regional Australia,1,Good,Good,0
NSW1187,CURRANS HILL,10,Major Cities of Australia,1,Good,Good,0
NSW1188,CURRARONG,11,Inner Regional Australia,1,Good,Good,0
NSW1189,CURRAWANG,11,Inner Regional Australia,1,Good,Good,0
NSW119,AYLMERTON,11,Inner Regional Australia,1,Good,Good,0
NSW1190,CURRAWARNA,12,Outer Regional Australia,1,Good,Good,0
NSW1191,CURRICABARK,12,Outer Regional Australia,1,Good,Good,0
NSW1192,CURROWAN,11,Inner Regional Australia,1,Good,Good,0
NSW1193,CUTTABRI,13,Remote Australia,1,Good,Good,0
NSW1194,CUTTAGEE,12,Outer Regional Australia,1,Good,Good,0
NSW1195,DABEE,12,Outer Regional Australia,1,Good,Good,0
NSW1196,DACEYVILLE,10,Major Cities of Australia,1,Good,Good,0
NSW1197,DAIRY FLAT,12,Outer Regional Australia,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,11,Inner Regional Australia,1,Good,Good,0
NSW1199,DALEYS POINT,10,Major Cities of Australia,1,Good,Good,0
NSW12,ABERNETHY,11,Inner Regional Australia,1,Good,Good,0
NSW120,BAAN BAA,12,Outer Regional Australia,1,Good,Good,0
NSW1200,DALGETY,12,Outer Regional Australia,1,Good,Good,0
NSW1201,DALMENY,12,Outer Regional Australia,1,Good,Good,0
NSW1202,DALMORTON,12,Outer Regional Australia,1,Good,Good,0
NSW1203,DALSWINTON,11,Inner Regional Australia,1,Good,Good,0
NSW1204,DALTON,11,Inner Regional Australia,1,Good,Good,0
NSW1205,DALWOOD,11,Inner Regional Australia,1,Good,Good,0
NSW1206,DALWOOD,11,Inner Regional Australia,1,Good,Good,0
NSW1207,DANDALOO,12,Outer Regional Australia,1,Good,Good,0
NSW1208,DANDRY,12,Outer Regional Australia,1,Good,Good,0
NSW1209,DANGAR ISLAND,11,Inner Regional Australia,1,Good,Good,0
NSW121,BABINDA,13,Remote Australia,1,Good,Good,0
NSW1210,DANGARSLEIGH,12,Outer Regional Australia,1,Good,Good,0
NSW1211,DANGELONG,11,Inner Regional Australia,1,Good,Good,0
NSW1212,DAPTO,11,Inner Regional Australia,0.0007633,Good,Good,1
NSW1212,DAPTO,10,Major Cities of Australia,0.9992367,Good,Good,0
NSW1213,DARAWANK,11,Inner Regional Australia,1,Good,Good,0
NSW1214,DARBALARA,12,Outer Regional Australia,1,Good,Good,0
NSW1215,DARBYS FALLS,11,Inner Regional Australia,1,Good,Good,0
NSW1217,DARGAN,11,Inner Regional Australia,1,Good,Good,0
NSW1218,DARK CORNER,11,Inner Regional Australia,1,Good,Good,0
NSW1219,DARKES FOREST,11,Inner Regional Australia,1,Good,Good,0
NSW122,BABYL CREEK,11,Inner Regional Australia,1,Good,Good,0
NSW1220,DARKWOOD,12,Outer Regional Australia,1,Good,Good,0
NSW1221,DARLING POINT,10,Major Cities of Australia,1,Good,Good,0
NSW1222,DARLINGHURST,10,Major Cities of Australia,1,Good,Good,0
NSW1223,DARLINGTON,10,Major Cities of Australia,1,Good,Good,0
