LOCALITY_PID,LOCALITY_NAME,PHN_CODE_2017,PHN_NAME_2017,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1093,COROWA,PHN110,Murrumbidgee,1,Good,Good,0
NSW1094,CORRABARE,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1095,CORRIMAL,PHN106,South Eastern NSW,1,Good,Good,0
NSW1096,CORRONG,PHN107,Western NSW,1,Good,Good,0
NSW1097,CORROWONG,PHN106,South Eastern NSW,1,Good,Good,0
NSW1098,CORUNNA,PHN106,South Eastern NSW,1,Good,Good,0
NSW1099,COTTAGE POINT,PHN102,Northern Sydney,1,Good,Good,0
NSW11,ABERMAIN,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW110,AUSTRAL EDEN,PHN109,North Coast,1,Good,Good,0
NSW1100,COUGAL,PHN109,North Coast,1,Good,Good,0
NSW1101,COUNTEGANY,PHN106,South Eastern NSW,1,Good,Good,0
NSW1102,COURABYRA,PHN110,Murrumbidgee,1,Good,Good,0
NSW1103,COURADDA,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1104,COURAGAGO,PHN110,Murrumbidgee,1,Good,Good,0
NSW1105,COURIDJAH,PHN105,South Western Sydney,1,Good,Good,0
NSW1106,COUTTS CROSSING,PHN109,North Coast,1,Good,Good,0
NSW1107,COW FLAT,PHN107,Western NSW,1,Good,Good,0
NSW1108,COWABBIE,PHN110,Murrumbidgee,1,Good,Good,0
NSW1109,COWAN,PHN102,Northern Sydney,1,Good,Good,0
NSW1110,COWPER,PHN109,North Coast,1,Good,Good,0
NSW1111,COWRA,PHN107,Western NSW,1,Good,Good,0
NSW1112,COXS CREEK,PHN107,Western NSW,1,Good,Good,0
NSW1113,COXS CROWN,PHN107,Western NSW,1,Good,Good,0
NSW1114,CRABBES CREEK,PHN109,North Coast,1,Good,Good,0
NSW1115,CRACKENBACK,PHN106,South Eastern NSW,1,Good,Good,0
NSW1116,CRAIGIE,PHN106,South Eastern NSW,1,Good,Good,0
NSW1117,CRANEBROOK,PHN104,Nepean Blue Mountains,1,Good,Good,0
NSW1118,CRANGAN BAY,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1119,CRAVEN,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW112,AVISFORD,PHN107,Western NSW,1,Good,Good,0
NSW1120,CRAVEN PLATEAU,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1121,CRAWFORD RIVER,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1122,CRAWNEY,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1123,CREEWAH,PHN106,South Eastern NSW,1,Good,Good,0
NSW1124,CREMORNE,PHN102,Northern Sydney,1,Good,Good,0
NSW1125,CREMORNE POINT,PHN102,Northern Sydney,1,Good,Good,0
NSW1126,CRESCENT HEAD,PHN109,North Coast,1,Good,Good,0
NSW1127,CRESTWOOD,PHN106,South Eastern NSW,1,Good,Good,0
NSW1128,CRINGILA,PHN106,South Eastern NSW,1,Good,Good,0
NSW1129,CROKI,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW113,AVOCA,PHN105,South Western Sydney,1,Good,Good,0
NSW1130,CROMER,PHN102,Northern Sydney,1,Good,Good,0
NSW1131,CRONULLA,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1132,CROOBLE,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1133,CROOBYAR,PHN106,South Eastern NSW,1,Good,Good,0
NSW1134,CROOKED CORNER,PHN106,South Eastern NSW,1,Good,Good,0
NSW1135,CROOKWELL,PHN106,South Eastern NSW,1,Good,Good,0
NSW1136,CROOM,PHN106,South Eastern NSW,1,Good,Good,0
NSW1137,CROPPA CREEK,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1138,CROSS ROADS,PHN107,Western NSW,1,Good,Good,0
NSW1139,CROSSLANDS,PHN109,North Coast,1,Good,Good,0
NSW114,AVOCA BEACH,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1140,CROUDACE BAY,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1142,CROWDY HEAD,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1143,CROWS NEST,PHN102,Northern Sydney,1,Good,Good,0
NSW1144,CROWTHER,PHN110,Murrumbidgee,1,Good,Good,0
NSW1145,CROWTHER ISLAND,PHN109,North Coast,1,Good,Good,0
NSW1146,CROYDON,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1147,CROYDON PARK,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1148,CRUDINE,PHN107,Western NSW,1,Good,Good,0
NSW1149,CRYON,PHN107,Western NSW,1,Good,Good,0
NSW115,AVON,PHN106,South Eastern NSW,0.3,Good,Good,0
NSW115,AVON,PHN105,South Western Sydney,0.7,Good,Good,0
NSW1150,CRYSTAL CREEK,PHN109,North Coast,1,Good,Good,0
NSW1151,CUBBA,PHN107,Western NSW,1,Good,Good,0
NSW1152,CUDAL,PHN107,Western NSW,1,Good,Good,0
NSW1153,CUDGEGONG,PHN107,Western NSW,1,Good,Good,0
NSW1154,CUDGEL,PHN110,Murrumbidgee,1,Good,Good,0
NSW1155,CUDGEN,PHN109,North Coast,1,Good,Good,0
NSW1156,CUDGERA CREEK,PHN109,North Coast,1,Good,Good,0
NSW1157,CUDMIRRAH,PHN106,South Eastern NSW,1,Good,Good,0
NSW1158,CULBURRA BEACH,PHN106,South Eastern NSW,1,Good,Good,0
NSW1159,CULCAIRN,PHN110,Murrumbidgee,1,Good,Good,0
NSW116,AVONDALE,PHN106,South Eastern NSW,1,Good,Good,0
NSW1160,CULLEN BULLEN,PHN104,Nepean Blue Mountains,1,Good,Good,0
NSW1161,CULLENBONE,PHN107,Western NSW,1,Good,Good,0
NSW1162,CULLENDORE,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1163,CULLERIN,PHN106,South Eastern NSW,1,Good,Good,0
NSW1164,CULLIVEL,PHN110,Murrumbidgee,1,Good,Good,0
NSW1165,CULMARAN CREEK,PHN109,North Coast,1,Good,Good,0
NSW1166,CUMBALUM,PHN109,North Coast,1,Good,Good,0
NSW1167,CUMBANDRY,PHN107,Western NSW,1,Good,Good,0
NSW1168,CUMBERLAND REACH,PHN104,Nepean Blue Mountains,1,Good,Good,0
NSW117,AVONSIDE,PHN106,South Eastern NSW,1,Good,Good,0
NSW1170,CUMBO,PHN107,Western NSW,1,Good,Good,0
NSW1171,CUMBORAH,PHN107,Western NSW,1,Good,Good,0
NSW1172,CUMNOCK,PHN107,Western NSW,1,Good,Good,0
NSW1173,CUNDLE FLAT,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1174,CUNDLETOWN,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1175,CUNDUMBUL,PHN107,Western NSW,1,Good,Good,0
NSW1176,CUNJURONG POINT,PHN106,South Eastern NSW,1,Good,Good,0
NSW1177,CUNNINYEUK,PHN110,Murrumbidgee,1,Good,Good,0
NSW1178,CURBAN,PHN107,Western NSW,1,Good,Good,0
NSW1179,CURL CURL,PHN102,Northern Sydney,1,Good,Good,0
NSW118,AWABA,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1180,CURLEW WATERS,PHN110,Murrumbidgee,1,Good,Good,0
NSW1181,CURLEWIS,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1182,CURLWAA,PHN107,Western NSW,1,Good,Good,0
NSW1183,CURRA CREEK,PHN107,Western NSW,1,Good,Good,0
NSW1184,CURRABUBULA,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1185,CURRAGH,PHN107,Western NSW,1,Good,Good,0
NSW1186,CURRAMORE,PHN106,South Eastern NSW,1,Good,Good,0
NSW1187,CURRANS HILL,PHN105,South Western Sydney,1,Good,Good,0
NSW1188,CURRARONG,PHN106,South Eastern NSW,1,Good,Good,0
NSW1189,CURRAWANG,PHN106,South Eastern NSW,1,Good,Good,0
NSW119,AYLMERTON,PHN105,South Western Sydney,1,Good,Good,0
NSW1190,CURRAWARNA,PHN110,Murrumbidgee,1,Good,Good,0
NSW1191,CURRICABARK,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1192,CURROWAN,PHN106,South Eastern NSW,1,Good,Good,0
NSW1193,CUTTABRI,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1194,CUTTAGEE,PHN106,South Eastern NSW,1,Good,Good,0
NSW1195,DABEE,PHN107,Western NSW,1,Good,Good,0
NSW1196,DACEYVILLE,PHN101,Central and Eastern Sydney,1,Good,Good,0
NSW1197,DAIRY FLAT,PHN109,North Coast,1,Good,Good,0
NSW1198,DAIRYMANS PLAINS,PHN106,South Eastern NSW,1,Good,Good,0
NSW1199,DALEYS POINT,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW12,ABERNETHY,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW120,BAAN BAA,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1200,DALGETY,PHN106,South Eastern NSW,1,Good,Good,0
NSW1201,DALMENY,PHN106,South Eastern NSW,1,Good,Good,0
NSW1202,DALMORTON,PHN109,North Coast,1,Good,Good,0
NSW1203,DALSWINTON,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1204,DALTON,PHN106,South Eastern NSW,1,Good,Good,0
NSW1205,DALWOOD,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1206,DALWOOD,PHN109,North Coast,1,Good,Good,0
NSW1207,DANDALOO,PHN107,Western NSW,1,Good,Good,0
NSW1208,DANDRY,PHN107,Western NSW,1,Good,Good,0
NSW1209,DANGAR ISLAND,PHN102,Northern Sydney,1,Good,Good,0
NSW121,BABINDA,PHN107,Western NSW,1,Good,Good,0
NSW1210,DANGARSLEIGH,PHN108,Hunter New England and Central Coast,1,Good,Good,0
NSW1211,DANGELONG,PHN106,South Eastern NSW,1,Good,Good,0
NSW1212,DAPTO,PHN106,South Eastern NSW,1,Good,Good,0
