DZN_CODE_2016,DZN_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
111758899,111758899,1,Good,Good,0
111758900,111758900,1,Good,Good,0
111758901,111758901,1,Good,Good,0
111758902,111758902,1,Good,Good,0
111758903,111758903,1,Good,Good,0
111758904,111758904,1,Good,Good,0
111758905,111758905,1,Good,Good,0
111768916,111768916,1,Good,Good,0
111768917,111768917,1,Good,Good,0
111768918,111768918,1,Good,Good,0
111778863,111778863,1,Good,Good,0
111778864,111778864,1,Good,Good,0
111788852,111788852,1,Good,Good,0
111788853,111788853,1,Good,Good,0
111788854,111788854,1,Good,Good,0
111798857,111798857,1,Good,Good,0
111798858,111798858,1,Good,Good,0
111798859,111798859,1,Good,Good,0
111798860,111798860,1,Good,Good,0
111808895,111808895,1,Good,Good,0
111810001,111818893,1,Good,Good,0
111818888,111818888,1,Good,Good,0
111818890,111818890,1,Good,Good,0
111818892,111818892,1,Good,Good,0
111828867,111828867,1,Good,Good,0
111838870,111838870,1,Good,Good,0
111838871,111838871,1,Good,Good,0
111838872,111838872,1,Good,Good,0
111838873,111838873,1,Good,Good,0
111838874,111838874,1,Good,Good,0
111848878,111848878,1,Good,Good,0
111858881,111858881,1,Good,Good,0
111858882,111858882,1,Good,Good,0
111858883,111858883,1,Good,Good,0
111858884,111858884,1,Good,Good,0
111858885,111858885,1,Good,Good,0
111868671,111868671,1,Good,Good,0
111868672,111868672,1,Good,Good,0
111868673,111868673,1,Good,Good,0
111868674,111868674,0.5138446,Poor,Good,0
111868674,111868675,0.4861554,Poor,Good,0
111878677,111878677,1,Good,Good,0
111878678,111878678,1,Good,Good,0
111878679,111878679,1,Good,Good,0
111878680,111878680,1,Good,Good,0
111880001,111880001,1,Good,Good,0
111880002,111880002,1,Good,Good,0
111888665,111888665,1,Good,Good,0
111888666,111888666,1,Good,Good,0
111898683,111898683,1,Good,Good,0
111898684,111898684,1,Good,Good,0
111898685,111898685,1,Good,Good,0
111908622,111908622,1,Good,Good,0
111908623,111908623,1,Good,Good,0
111908624,111908624,1,Good,Good,0
111908625,111908625,1,Good,Good,0
111918607,111910001,0.6605469,Poor,Good,0
111918607,111910002,0.3394531,Poor,Good,0
111928610,111928610,1,Good,Good,0
111928611,111928611,1,Good,Good,0
111928612,111928612,1,Good,Good,0
111928613,111928613,1,Good,Good,0
111928614,111928614,1,Good,Good,0
111938600,111938600,1,Good,Good,0
111938601,111938601,1,Good,Good,0
111938602,111938602,1,Good,Good,0
111938603,111938603,1,Good,Good,0
111938604,111938604,1,Good,Good,0
111948617,111948617,1,Good,Good,0
111948618,111948618,1,Good,Good,0
111948619,111948619,1,Good,Good,0
111958588,111958588,1,Good,Good,0
111968583,111968583,1,Good,Good,0
111968584,111968584,1,Good,Good,0
111968585,111968585,1,Good,Good,0
111978597,111978597,1,Good,Good,0
111988591,111988591,1,Good,Good,0
111988592,111988592,1,Good,Good,0
