ILOC_CODE_2016,ILOC_NAME_2016,ILOC_CODE_2021,ILOC_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10700902,Fairfield - West,10700902,Fairfield - West,1,Good,Good,0
10701001,Hawkesbury,10701001,Hawkesbury,1,Good,Good,0
10701002,Hawkesbury - Richmond,10701002,Hawkesbury - Richmond,1,Good,Good,0
10701003,Hawkesbury - Windsor,10701003,Hawkesbury - Windsor,1,Good,Good,0
10701101,Holroyd,10701101,Holroyd,1,Good,Good,0
10701201,Hornsby - Ku-ring-gai,10701201,Hornsby - Ku-ring-gai,1,Good,Good,0
10701301,Hunters Hill - Ryde,10701301,Hunters Hill - Ryde,1,Good,Good,0
10701401,Hurstville,10701401,Hurstville,1,Good,Good,0
10701402,Kogarah,10701402,Kogarah,1,Good,Good,0
10701501,Kiama,10701501,Kiama,1,Good,Good,0
10701502,Shellharbour,10701502,Shellharbour,1,Good,Good,0
10701601,Leichhardt,10701601,Leichhardt,1,Good,Good,0
10701701,Liverpool - East,10701701,Liverpool - East,1,Good,Good,0
10701702,Liverpool - West,10701702,Liverpool - West,1,Good,Good,0
10701801,Lord Howe Island,10701801,Lord Howe Island,1,Good,Good,0
10701901,Marrickville,10701901,Marrickville,1,Good,Good,0
10702001,Manly - Warringah,10702001,Manly - Warringah,1,Good,Good,0
10702002,Pittwater,10702002,Pittwater,1,Good,Good,0
10702101,Parramatta - Central,10702101,Parramatta - Central,1,Good,Good,0
10702102,Parramatta - North-East,10702102,Parramatta - North-East,1,Good,Good,0
10702103,Parramatta - North-West,10702103,Parramatta - North-West,1,Good,Good,0
10702104,Parramatta - South,10702104,Parramatta - South,1,Good,Good,0
10702201,Cranebrook - Londonberry,10702201,Cranebrook - Londonberry,1,Good,Good,0
10702202,Glenmore Park,10702202,Glenmore Park,1,Good,Good,0
10702203,Penrith - Central,10702203,Penrith - Central,1,Good,Good,0
10702204,Penrith - Inner East,10702204,Penrith - Inner East,1,Good,Good,0
10702205,Penrith - Outer East,10702205,Penrith - Outer East,1,Good,Good,0
10702206,Penrith - South,10702206,Penrith - South,1,Good,Good,0
10702207,Penrith - West,10702207,Penrith - West,1,Good,Good,0
10702301,La Perouse,10702301,La Perouse,1,Good,Good,0
10702302,Randwick,10702302,Randwick,1,Good,Good,0
10702401,Rockdale,10702401,Rockdale,1,Good,Good,0
10702501,Sutherland Shire - East,10702501,Sutherland Shire - East,1,Good,Good,0
10702502,Sutherland Shire - West,10702502,Sutherland Shire - West,1,Good,Good,0
10702601,Alexandria - Darlington - Waterloo,10702601,Alexandria - Darlington - Waterloo,1,Good,Good,0
10702602,Darlinghurst - Paddington - Surry Hills,10702602,Darlinghurst - Paddington - Surry Hills,1,Good,Good,0
10702603,Glebe - Prymont - The Rocks,10702603,Glebe - Prymont - The Rocks,1,Good,Good,0
10702604,Redfern,10702604,Redfern,1,Good,Good,0
10702701,Ashfield,10702701,Ashfield,1,Good,Good,0
10702702,Burwood,10702702,Burwood,1,Good,Good,0
10702703,Canada Bay,10702703,Canada Bay,1,Good,Good,0
10702704,Strathfield,10702704,Strathfield,1,Good,Good,0
10702801,Lane Cove - Willoughby,10702801,Lane Cove - Willoughby,1,Good,Good,0
10702802,Mosman - North Sydney,10702802,Mosman - North Sydney,1,Good,Good,0
10702901,Wollondilly,10702901,Wollondilly,1,Good,Good,0
10703001,Wollongong,10703001,Wollongong,1,Good,Good,0
10703101,Waverley,10703101,Waverley,1,Good,Good,0
10703102,Woollahra,10703102,Woollahra,1,Good,Good,0
19499494,No usual address (NSW),19499494,No usual address (NSW),1,Good ,Good,0
19799797,Migratory - Offshore - Shipping (NSW),19799797,Migratory - Offshore - Shipping (NSW),1,Good ,Good,0
20100101,Keilor,20100101,Keilor,1,Good,Good,0
20100102,Sunshine,20100102,Sunshine,1,Good,Good,0
20100201,Cardinia,20100201,Cardinia,1,Good,Good,0
20100301,Craigieburn - Sunbury,20100301,Craigieburn - Sunbury,1,Good,Good,0
20100401,Cranbourne,20100401,Cranbourne,1,Good,Good,0
20100402,Hallam - Berwick - Pearcedale,20100402,Hallam - Berwick - Pearcedale,1,Good,Good,0
20100501,Chelsea,20100501,Chelsea,1,Good,Good,0
20100502,Frankston - East,20100502,Frankston - East,1,Good,Good,0
20100503,Frankston - West,20100503,Frankston - West,1,Good,Good,0
20100601,Greater Dandenong,20100601,Greater Dandenong,1,Good,Good,0
20100701,Wantrina - Rowville - Ferntree Gully,20100701,Wantrina - Rowville - Ferntree Gully,1,Good,Good,0
20100801,Maribyrnong,20100801,Maribyrnong,1,Good,Good,0
20100802,Moonee Valley,20100802,Moonee Valley,1,Good,Good,0
20100901,Maroondah,20100901,Maroondah,1,Good,Good,0
20101001,Bayside,20101001,Bayside,1,Good,Good,0
20101002,Boroondara,20101002,Boroondara,1,Good,Good,0
20101003,Glen Eira,20101003,Glen Eira,1,Good,Good,0
20101101,Heidelberg,20101101,Heidelberg,1,Good,Good,0
20101102,Manningham,20101102,Manningham,1,Good,Good,0
20101103,Nillumbik,20101103,Nillumbik,1,Good,Good,0
20101104,Watsonia,20101104,Watsonia,1,Good,Good,0
20101201,Melbourne - Central,20101201,Melbourne - Central,1,Good,Good,0
20101202,Port Phillip,20101202,Port Phillip,1,Good,Good,0
