SA1_CODE_2021,SED_CODE_2022,SED_NAME_2022,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10805116904,10056,Myall Lakes,1,Good,Good,3
10805116905,10056,Myall Lakes,1,Good,Good,3
10805116906,10056,Myall Lakes,1,Good,Good,3
10805116908,10056,Myall Lakes,1,Good,Good,3
10805116909,10056,Myall Lakes,1,Good,Good,3
10805116910,10056,Myall Lakes,1,Good,Good,3
10805116911,10056,Myall Lakes,1,Good,Good,3
10805116912,10056,Myall Lakes,1,Good,Good,3
10805116913,10056,Myall Lakes,1,Good,Good,3
10805116914,10056,Myall Lakes,1,Good,Good,3
10805116915,10056,Myall Lakes,1,Good,Good,3
10805116916,10056,Myall Lakes,1,Good,Good,3
10805116917,10056,Myall Lakes,1,Good,Good,3
10805116918,10056,Myall Lakes,1,Good,Good,3
10805116919,10056,Myall Lakes,1,Good,Good,3
10805116920,10056,Myall Lakes,1,Good,Good,3
10805116921,10056,Myall Lakes,1,Good,Good,3
10805116923,10056,Myall Lakes,1,Good,Good,3
10805116924,10056,Myall Lakes,1,Good,Good,3
10805116925,10056,Myall Lakes,1,Good,Good,3
10805116926,10056,Myall Lakes,1,Good,Good,3
10805116927,10056,Myall Lakes,1,Good,Good,3
10805116928,10056,Myall Lakes,1,Good,Good,3
10805116929,10056,Myall Lakes,1,Good,Good,3
10805116930,10056,Myall Lakes,1,Good,Good,3
10805116931,10056,Myall Lakes,1,Good,Good,3
10805116932,10056,Myall Lakes,1,Good,Good,3
10805116933,10056,Myall Lakes,1,Good,Good,3
10805116934,10056,Myall Lakes,1,Good,Good,3
10805116935,10056,Myall Lakes,1,Good,Good,3
10805116936,10056,Myall Lakes,1,Good,Good,3
10805116937,10056,Myall Lakes,1,Good,Good,3
10805116938,10056,Myall Lakes,1,Good,Good,3
10805116939,10056,Myall Lakes,1,Good,Good,3
10805116940,10056,Myall Lakes,1,Good,Good,3
10805116941,10056,Myall Lakes,1,Good,Good,3
10805116942,10056,Myall Lakes,1,Good,Good,3
10805116943,10056,Myall Lakes,1,Good,Good,3
10805116944,10056,Myall Lakes,1,Good,Good,3
10805116945,10056,Myall Lakes,1,Good,Good,3
10805116946,10056,Myall Lakes,1,Good,Good,3
10805116947,10056,Myall Lakes,1,Good,Good,3
10805116948,10056,Myall Lakes,1,Good,Good,3
10805116949,10056,Myall Lakes,1,Good,Good,3
10805116950,10056,Myall Lakes,1,Good,Good,3
10805116951,10056,Myall Lakes,1,Good,Good,3
10805116952,10056,Myall Lakes,1,Good,Good,3
10805116953,10056,Myall Lakes,1,Good,Good,3
10805116955,10056,Myall Lakes,1,Good,Good,3
10805116956,10056,Myall Lakes,1,Good,Good,3
10805116957,10056,Myall Lakes,1,Good,Good,3
10805116958,10056,Myall Lakes,1,Good,Good,3
10805116959,10056,Myall Lakes,1,Good,Good,3
10805116961,10056,Myall Lakes,1,Good,Good,3
10805116962,10056,Myall Lakes,1,Good,Good,3
10805116963,10056,Myall Lakes,1,Good,Good,3
10805116964,10056,Myall Lakes,1,Good,Good,3
10805116965,10056,Myall Lakes,1,Good,Good,3
10805116966,10056,Myall Lakes,1,Good,Good,3
10805116967,10056,Myall Lakes,1,Good,Good,3
10805116968,10056,Myall Lakes,1,Good,Good,3
10805117002,10067,Port Macquarie,1,Good,Good,3
10805117003,10056,Myall Lakes,1,Good,Good,3
10805117004,10067,Port Macquarie,1,Good,Good,3
10805117005,10067,Port Macquarie,1,Good,Good,3
10805117006,10067,Port Macquarie,1,Good,Good,3
10805117007,10067,Port Macquarie,1,Good,Good,3
10805117008,10067,Port Macquarie,1,Good,Good,3
10805117009,10067,Port Macquarie,1,Good,Good,3
10805117010,10056,Myall Lakes,1,Good,Good,3
10805117011,10067,Port Macquarie,1,Good,Good,3
10805117012,10067,Port Macquarie,1,Good,Good,3
10805117013,10067,Port Macquarie,1,Good,Good,3
10805117014,10067,Port Macquarie,1,Good,Good,3
10805117015,10056,Myall Lakes,1,Good,Good,3
10805117016,10056,Myall Lakes,1,Good,Good,3
10805117017,10056,Myall Lakes,1,Good,Good,3
10805117018,10056,Myall Lakes,1,Good,Good,3
10805117019,10056,Myall Lakes,1,Good,Good,3
