SA2_MAINCODE_2016,SA2_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
310041304,Springfield Lakes,30039,Jordan,1,Acceptable,Acceptable,0
311011305,Beaudesert,30075,Scenic Rim,1,Acceptable,Acceptable,0
311021306,Beenleigh,30046,Macalister,1,Good,Acceptable,0
311021307,Eagleby,30046,Macalister,1,Good,Acceptable,0
311021308,Edens Landing - Holmview,30046,Macalister,1,Good,Acceptable,0
311021309,Mount Warren Park,30046,Macalister,1,Good,Acceptable,0
311021310,Wolffdene - Bahrs Scrub,30044,Logan,0.0968285,Poor,Acceptable,0
311021310,Wolffdene - Bahrs Scrub,30046,Macalister,0.9031715,Good,Acceptable,0
311031311,Boronia Heights - Park Ridge,30044,Logan,1,Poor,Acceptable,0
311031312,Browns Plains,30081,Stretton,0.0364192,Acceptable,Acceptable,0
311031312,Browns Plains,30093,Woodridge,0.483206,Acceptable,Acceptable,0
311031312,Browns Plains,30001,Algester,0.4803748,Poor,Acceptable,0
311031313,Chambers Flat - Logan Reserve,30044,Logan,0.6698454,Poor,Acceptable,0
311031313,Chambers Flat - Logan Reserve,30091,Waterford,0.3301546,Acceptable,Acceptable,0
311031314,Crestmead,30093,Woodridge,1,Acceptable,Acceptable,0
311031315,Greenbank Military Camp,30039,Jordan,1,Acceptable,Acceptable,0
311031316,Hillcrest,30001,Algester,0.7938072,Poor,Acceptable,0
311031316,Hillcrest,30044,Logan,0.2061928,Poor,Acceptable,0
311031317,Marsden,30093,Woodridge,1,Acceptable,Acceptable,0
311031318,Munruben - Park Ridge South,30044,Logan,1,Poor,Acceptable,0
311031319,Regents Park - Heritage Park,30093,Woodridge,0.6548139,Acceptable,Acceptable,0
