LGA_CODE_2018,LGA_NAME_2018,GCCSA_CODE_2021,GCCSA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
52170,Cottesloe (T),5GPER,Greater Perth,1,Good,Good,0
52240,Cranbrook (S),5RWAU,Rest of WA,1,Good,Good,0
52310,Cuballing (S),5RWAU,Rest of WA,1,Good,Good,0
52380,Cue (S),5RWAU,Rest of WA,1,Good,Good,0
52450,Cunderdin (S),5RWAU,Rest of WA,1,Good,Good,0
52520,Dalwallinu (S),5RWAU,Rest of WA,1,Good,Good,0
52590,Dandaragan (S),5RWAU,Rest of WA,1,Good,Good,0
52660,Dardanup (S),5RWAU,Rest of WA,1,Good,Good,0
52730,Denmark (S),5RWAU,Rest of WA,1,Good,Good,0
52800,Derby-West Kimberley (S),5RWAU,Rest of WA,1,Good,Good,0
52870,Donnybrook-Balingup (S),5RWAU,Rest of WA,1,Good,Good,0
52940,Dowerin (S),5RWAU,Rest of WA,1,Good,Good,0
53010,Dumbleyung (S),5RWAU,Rest of WA,1,Good,Good,0
53080,Dundas (S),5RWAU,Rest of WA,1,Good,Good,0
53150,East Fremantle (T),5GPER,Greater Perth,1,Good,Good,0
53220,East Pilbara (S),5RWAU,Rest of WA,1,Good,Good,0
53290,Esperance (S),5RWAU,Rest of WA,1,Good,Good,0
53360,Exmouth (S),5RWAU,Rest of WA,1,Good,Good,0
53430,Fremantle (C),5GPER,Greater Perth,1,Good,Good,0
53570,Gingin (S),5RWAU,Rest of WA,1,Good,Good,0
53640,Gnowangerup (S),5RWAU,Rest of WA,1,Good,Good,0
53710,Goomalling (S),5RWAU,Rest of WA,1,Good,Good,0
53780,Gosnells (C),5GPER,Greater Perth,1,Good,Good,0
53800,Greater Geraldton (C),5RWAU,Rest of WA,1,Good,Good,0
53920,Halls Creek (S),5RWAU,Rest of WA,1,Good,Good,0
53990,Harvey (S),5RWAU,Rest of WA,1,Good,Good,0
54060,Irwin (S),5RWAU,Rest of WA,1,Good,Good,0
54130,Jerramungup (S),5RWAU,Rest of WA,1,Good,Good,0
54170,Joondalup (C),5GPER,Greater Perth,1,Good,Good,0
54200,Kalamunda (C),5GPER,Greater Perth,1,Good,Good,0
54280,Kalgoorlie/Boulder (C),5RWAU,Rest of WA,1,Good,Good,0
54310,Karratha (C),5RWAU,Rest of WA,1,Good,Good,0
54340,Katanning (S),5RWAU,Rest of WA,1,Good,Good,0
54410,Kellerberrin (S),5RWAU,Rest of WA,1,Good,Good,0
54480,Kent (S),5RWAU,Rest of WA,1,Good,Good,0
54550,Kojonup (S),5RWAU,Rest of WA,1,Good,Good,0
54620,Kondinin (S),5RWAU,Rest of WA,1,Good,Good,0
54690,Koorda (S),5RWAU,Rest of WA,1,Good,Good,0
54760,Kulin (S),5RWAU,Rest of WA,1,Good,Good,0
54830,Kwinana (C),5GPER,Greater Perth,1,Good,Good,0
54900,Lake Grace (S),5RWAU,Rest of WA,1,Good,Good,0
54970,Laverton (S),5RWAU,Rest of WA,1,Good,Good,0
55040,Leonora (S),5RWAU,Rest of WA,1,Good,Good,0
55110,Mandurah (C),5GPER,Greater Perth,1,Good,Good,0
55180,Manjimup (S),5RWAU,Rest of WA,1,Good,Good,0
55250,Meekatharra (S),5RWAU,Rest of WA,1,Good,Good,0
55320,Melville (C),5GPER,Greater Perth,1,Good,Good,0
55390,Menzies (S),5RWAU,Rest of WA,1,Good,Good,0
55460,Merredin (S),5RWAU,Rest of WA,1,Good,Good,0
55530,Mingenew (S),5RWAU,Rest of WA,1,Good,Good,0
55600,Moora (S),5RWAU,Rest of WA,1,Good,Good,0
55670,Morawa (S),5RWAU,Rest of WA,1,Good,Good,0
55740,Mosman Park (T),5GPER,Greater Perth,1,Good,Good,0
55810,Mount Magnet (S),5RWAU,Rest of WA,1,Good,Good,0
55880,Mount Marshall (S),5RWAU,Rest of WA,1,Good,Good,0
55950,Mukinbudin (S),5RWAU,Rest of WA,1,Good,Good,0
56090,Mundaring (S),5GPER,Greater Perth,1,Good,Good,0
56160,Murchison (S),5RWAU,Rest of WA,1,Good,Good,0
56230,Murray (S),5GPER,Greater Perth,0.95635,Good,Good,0
56230,Murray (S),5RWAU,Rest of WA,0.04365,Good,Good,0
56300,Nannup (S),5RWAU,Rest of WA,1,Good,Good,0
56370,Narembeen (S),5RWAU,Rest of WA,1,Good,Good,0
56460,Narrogin (S),5RWAU,Rest of WA,1,Good,Good,0
56580,Nedlands (C),5GPER,Greater Perth,1,Good,Good,0
56620,Ngaanyatjarraku (S),5RWAU,Rest of WA,1,Good,Good,0
56730,Northam (S),5RWAU,Rest of WA,1,Good,Good,0
56790,Northampton (S),5RWAU,Rest of WA,1,Good,Good,0
56860,Nungarin (S),5RWAU,Rest of WA,1,Good,Good,0
56930,Peppermint Grove (S),5GPER,Greater Perth,1,Good,Good,0
57000,Perenjori (S),5RWAU,Rest of WA,1,Good,Good,0
57080,Perth (C),5GPER,Greater Perth,1,Good,Good,0
57140,Pingelly (S),5RWAU,Rest of WA,1,Good,Good,0
57210,Plantagenet (S),5RWAU,Rest of WA,1,Good,Good,0
57280,Port Hedland (T),5RWAU,Rest of WA,1,Good,Good,0
57350,Quairading (S),5RWAU,Rest of WA,1,Good,Good,0
57420,Ravensthorpe (S),5RWAU,Rest of WA,1,Good,Good,0
57490,Rockingham (C),5GPER,Greater Perth,1,Good,Good,0
57630,Sandstone (S),5RWAU,Rest of WA,1,Good,Good,0
57700,Serpentine-Jarrahdale (S),5GPER,Greater Perth,1,Good,Good,0
57770,Shark Bay (S),5RWAU,Rest of WA,1,Good,Good,0
57840,South Perth (C),5GPER,Greater Perth,1,Good,Good,0
