SSC_CODE_2016,SSC_NAME_2016,SAL_CODE_2021,SAL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10354,Billimari,10353,Billimari,1,Good,Good,0
10355,Billinudgel,10354,Billinudgel,1,Good,Good,0
10356,Billys Creek,10355,Billys Creek,1,Good,Good,0
10357,Billywillinga,10356,Billywillinga,1,Good,Good,0
10358,Bilpin,10357,Bilpin,1,Good,Good,0
10359,Bimberi,10358,Bimberi,1,Good,Good,0
10360,Bimbi,10359,Bimbi,1,Good,Good,0
10361,Bimbimbie,10360,Bimbimbie,1,Good,Good,0
10362,Binalong,10361,Binalong,1,Good,Good,0
10363,Binda,10362,Binda,1,Good,Good,0
10364,Bindera,10363,Bindera,1,Good,Good,0
10365,Bingara,10364,Bingara,1,Good,Good,0
10366,Bingeebeebra Creek,10365,Bingeebeebra Creek,1,Good,Good,0
10367,Bingie,10366,Bingie,1,Good,Good,0
10368,Bingleburra,10367,Bingleburra,1,Good,Good,0
10369,Biniguy,10368,Biniguy,1,Good,Good,0
10370,Binjura,10369,Binjura,1,Good,Good,0
10371,Binna Burra (NSW),10370,Binna Burra (NSW),1,Good,Good,0
10372,Binnaway,10371,Binnaway,1,Good,Good,0
10373,Binya,10372,Binya,1,Good,Good,0
10374,Birchgrove,10373,Birchgrove,1,Good,Good,0
10375,Birdwood (NSW),10374,Birdwood (NSW),1,Good,Good,0
10376,Birganbigil,10375,Birganbigil,1,Good,Good,0
10377,Birmingham Gardens,10376,Birmingham Gardens,1,Good,Good,0
10378,Birriwa,10377,Birriwa,1,Good,Good,0
10379,Birrong,10378,Birrong,1,Good,Good,0
10380,Bishops Bridge,10379,Bishops Bridge,0.9518059,Good,Good,0
10380,Bishops Bridge,12377,Lochinvar,0.0481941,Good,Good,0
10381,Bithramere,10380,Bithramere,1,Good,Good,0
10382,Black Creek (Port Macquarie-Hastings - NSW),10381,Black Creek (Port Macquarie-Hastings - NSW),1,Good,Good,0
10383,Black Creek (Snowy Valleys - NSW),10382,Black Creek (Snowy Valleys - NSW),1,Good,Good,0
10384,Black Head,10383,Black Head,1,Good,Good,0
10385,Black Hill (NSW),10384,Black Hill (NSW),1,Good,Good,0
10386,Black Hollow,10385,Black Hollow,1,Good,Good,0
10387,Black Mountain (NSW),10386,Black Mountain (NSW),1,Good,Good,0
10388,Black Range (NSW),10387,Black Range (NSW),1,Good,Good,0
10389,Black Springs (NSW),10388,Black Springs (NSW),1,Good,Good,0
10390,Blackalls Park,10389,Blackalls Park,1,Good,Good,0
10391,Blackbutt (NSW),10390,Blackbutt (NSW),1,Good,Good,0
10392,Blackett,10391,Blackett,1,Good,Good,0
10393,Blackheath,10392,Blackheath,1,Good,Good,0
10394,Blackmans Flat,10393,Blackmans Flat,1,Good,Good,0
10395,Blackmans Point,10394,Blackmans Point,1,Good,Good,0
10396,Blacksmiths,10395,Blacksmiths,1,Good,Good,0
10397,Blacktown,10396,Blacktown,1,Good,Good,0
10398,Blackville,10397,Blackville,1,Good,Good,0
10399,Blackwall (NSW),10398,Blackwall (NSW),1,Good,Good,0
10400,Blair Athol (NSW),10399,Blair Athol (NSW),1,Good,Good,0
