UCL_CODE_2016,UCL_NAME_2016,UCL_CODE_2021,UCL_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
121046,Gunning (L),121047,Gunning (L),1,Good,Good,0
121047,Hallidays Point - Black Head (L),115075,Hallidays Point - Black Head,1,Good,Good,0
121048,Hanwood (L),121049,Hanwood (L),1,Good,Good,0
121049,Hastings Point (L),121050,Hastings Point (L),1,Good,Good,0
121050,Hawks Nest (L),115078,Hawks Nest,1,Good,Good,0
121051,Henty (L),121051,Henty (L),1,Good,Good,0
121052,Huskisson (L),121052,Huskisson (L),1,Good,Good,0
121053,Jamberoo (L),115085,Jamberoo,1,Good,Good,0
121054,Jerilderie (L),121053,Jerilderie (L),1,Good,Good,0
121055,Jilliby (L),121054,Jilliby (L),1,Good,Good,0
121056,Kalaru (L),131001,Remainder of State/Territory (NSW),0.165906,Good,Good,0
121056,Kalaru (L),121055,Kalaru (L),0.834094,Acceptable,Good,0
121057,Kendall (L),121056,Kendall (L),1,Good,Good,0
121058,Killingworth (L),121057,Killingworth (L),1,Good,Good,0
121059,King Creek (L),121058,King Creek (L),1,Good,Good,0
121060,Kings Point (L),121059,Kings Point (L),1,Good,Good,0
121061,Kingswood (L),121060,Kingswood (L),1,Good,Good,0
121062,Kurrajong Heights (L),121062,Kurrajong Heights (L),1,Good,Good,0
121063,Lake Tabourie (L),121064,Lake Tabourie (L),1,Good,Good,0
121064,Lawrence (L),121065,Lawrence (L),1,Good,Good,0
121065,Lockhart (L),121067,Lockhart (L),1,Good,Good,0
121066,Long Beach (L),121068,Long Beach - Maloneys Beach (L),1,Good,Good,0
121067,Louth Park (L),121069,Louth Park (L),1,Good,Good,0
121068,Maianbar (L),121070,Maianbar (L),1,Good,Good,0
121069,Marulan (L),121072,Marulan (L),1,Good,Good,0
121070,Mathoura (L),121073,Mathoura (L),1,Good,Good,0
121071,Medlow Bath (L),121074,Medlow Bath (L),1,Good,Good,0
121072,Menangle (L),121075,Menangle (L),1,Good,Good,0
121073,Merriwa (L),115103,Merriwa,1,Good,Good,0
121074,Millfield (L),121076,Millfield (L),1,Good,Good,0
121075,Millthorpe (L),121077,Millthorpe (L),1,Good,Good,0
121076,Minmi (L),121078,Minmi (L),1,Good,Good,0
121077,Modanville (L),121079,Modanville (L),1,Good,Good,0
121078,Moonee Beach (L),131001,Remainder of State/Territory (NSW),2.42E-05,Good,Good,1
121078,Moonee Beach (L),121080,Moonee Beach (L),0.9999758,Good,Good,0
121079,Moonee Beach West (L),121081,Moonee Beach West (L),1,Good,Good,0
121080,Moruya Heads (L),121082,Moruya Heads (L),1,Good,Good,0
121081,Mount Victoria (L),121083,Mount Victoria (L),1,Good,Good,0
121082,Mulgoa (L),121084,Mulgoa (L),1,Good,Good,0
121083,Murrays Beach (L),121017,Catherine Hill Bay (L),0.0618463,Poor,Good,0
121083,Murrays Beach (L),131001,Remainder of State/Territory (NSW),0.1457706,Good,Good,0
121083,Murrays Beach (L),121085,Murrays Beach (L),0.792383,Acceptable,Good,0
121084,Murrurundi (L),121086,Murrurundi (L),1,Good,Good,0
121085,Nabiac (L),121087,Nabiac (L),1,Good,Good,0
121086,New Berrima (L),121088,New Berrima (L),1,Good,Good,0
121087,Nords Wharf (L),121089,Nords Wharf (L),1,Good,Good,0
121088,North Rothbury (L),115112,North Rothbury,1,Acceptable,Good,0
121089,Nowra Hill (L),121090,Nowra Hill (L),1,Good,Good,0
121090,Nunderi (L),121091,Nunderi (L),1,Good,Good,0
121091,Oakdale (L),121092,Oakdale (L),1,Good,Good,0
121092,Paxton (L),121093,Paxton (L),1,Good,Good,0
121093,Peak Hill (L),121094,Peak Hill (L),1,Good,Good,0
121094,Putta Bucca - Bombira (L),121095,Putta Bucca - Bombira (L),1,Good,Good,0
121095,Red Head (L),121096,Red Head (L),1,Good,Good,0
121096,Repton (L),121097,Repton (L),1,Good,Good,0
121097,Richmond Hill (L),121098,Richmond Hill (L),1,Good,Good,0
121098,Rylstone (L),121099,Rylstone (L),1,Good,Good,0
121099,Safety Beach (L),121100,Safety Beach (L),1,Good,Good,0
121100,Salt Ash (L),121101,Salt Ash (L),1,Good,Good,0
121101,Scotts Head (L),121102,Scotts Head (L),1,Good,Good,0
121102,Smithtown - Gladstone (L),121103,Smithtown - Gladstone (L),1,Good,Good,0
121103,Stroud (L),121104,Stroud (L),1,Good,Good,0
121104,Stuarts Point (L),121105,Stuarts Point (L),1,Good,Good,0
121105,Tallwoods Village (L),121106,Tallwoods Village (L),1,Good,Good,0
121106,The Rock (L),121107,The Rock (L),1,Good,Good,0
121107,Tinonee (L),121108,Tinonee (L),1,Good,Good,0
121108,Tintenbar (L),121109,Tintenbar (L),1,Good,Good,0
121109,Townsend (L),121110,Townsend (L),1,Good,Good,0
121110,Trangie (L),121111,Trangie (L),1,Good,Good,0
121111,Uranquinty (L),121112,Uranquinty (L),1,Good,Good,0
121112,Walla Walla (L),121113,Walla Walla (L),1,Good,Good,0
121113,Wallabi Point (L),121114,Wallabi Point (L),1,Good,Good,0
121114,Wallaga Lake (L),121115,Wallaga Lake (L),1,Good,Good,0
121115,Wallalong (L),121116,Wallalong (L),1,Good,Good,0
121116,Wardell (L),121117,Wardell (L),1,Good,Good,0
121117,Waterview Heights (L),121119,Waterview Heights (L),1,Good,Good,0
121118,Wilcannia (L),121120,Wilcannia (L),1,Good,Good,0
121119,Wongarbon (L),121122,Wongarbon (L),1,Good,Good,0
121120,Woodburn (L),121123,Woodburn (L),1,Good,Good,0
121121,Woombah (L),121125,Woombah (L),1,Good,Good,0
121122,Wooroowoolgan (L),121126,Wooroowoolgan (L),1,Good,Good,0
121123,Wyalong (L),122155,Wyalong (L),1,Good,Good,0
121124,Yanco (L),122156,Yanco (L),1,Good,Good,0
121125,Yanderra (L),121127,Yanderra (L),1,Good,Good,0
121126,Yerrinbool (L),131001,Remainder of State/Territory (NSW),0.145677,Good,Good,0
121126,Yerrinbool (L),121128,Yerrinbool (L),0.854323,Acceptable,Good,0
122001,Abernethy (L),122001,Abernethy (L),1,Good,Good,0
122002,Adaminaby (L),122002,Adaminaby (L),1,Good,Good,0
