LOCALITY_PID,LOCALITY_NAME,IARE_CODE_2021,IARE_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
NSW1143,CROWS NEST,107028,Sydney - Lower North,1,Good,Good,0
NSW1144,CROWTHER,105022,Young,1,Good,Good,0
NSW1145,CROWTHER ISLAND,104004,Clarence Valley,1,Good,Good,0
NSW1146,CROYDON,107027,Sydney - Inner West,1,Good,Good,0
NSW1147,CROYDON PARK,107008,Canterbury - Bankstown,0.3808096,Good,Good,0
NSW1147,CROYDON PARK,107027,Sydney - Inner West,0.6191904,Good,Good,0
NSW1148,CRUDINE,105003,Bathurst,0.5998834,Good,Good,0
NSW1148,CRUDINE,105016,Mudgee,0.4001166,Good,Good,0
NSW1149,CRYON,103006,Walgett,1,Good,Good,0
NSW115,AVON,106005,Southern Tablelands,1,Good,Good,0
NSW1150,CRYSTAL CREEK,104020,Tweed,1,Good,Good,0
NSW1151,CUBBA,103003,Cobar - Murrin Bridge,1,Good,Good,0
NSW1152,CUDAL,105004,Blayney - Cabonne,1,Good,Good,0
NSW1153,CUDGEGONG,105016,Mudgee,1,Good,Good,0
NSW1154,CUDGEL,105012,Griffith - Leeton,1,Good,Good,0
NSW1155,CUDGEN,104020,Tweed,1,Good,Good,0
NSW1156,CUDGERA CREEK,104020,Tweed,1,Good,Good,0
NSW1157,CUDMIRRAH,106003,Shoalhaven,1,Good,Good,0
NSW1158,CULBURRA BEACH,106003,Shoalhaven,1,Good,Good,0
NSW1159,CULCAIRN,105020,Upper Murray,1,Good,Good,0
NSW116,AVONDALE,107030,Wollongong,1,Good,Good,0
NSW1160,CULLEN BULLEN,105015,Lithgow - Oberon,1,Good,Good,0
NSW1161,CULLENBONE,105016,Mudgee,1,Good,Good,0
NSW1162,CULLENDORE,102012,Tenterfield - Jubullum Village,1,Good,Good,0
NSW1163,CULLERIN,106005,Southern Tablelands,1,Good,Good,0
