LGA_CODE_2020,LGA_NAME_2020,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
17400,Tenterfield (A),17400,Tenterfield,1,Good,Good,0
17420,The Hills Shire (A),17420,The Hills Shire,1,Good,Good,0
17550,Tweed (A),17550,Tweed,1,Good,Good,0
17620,Upper Hunter Shire (A),17620,Upper Hunter Shire,1,Good,Good,0
17640,Upper Lachlan Shire (A),17640,Upper Lachlan Shire,1,Good,Good,0
17650,Uralla (A),17650,Uralla,1,Good,Good,0
17750,Wagga Wagga (C),17750,Wagga Wagga,1,Good,Good,0
17850,Walcha (A),17850,Walcha,1,Good,Good,0
17900,Walgett (A),17900,Walgett,1,Good,Good,0
17950,Warren (A),17950,Warren,1,Good,Good,0
18020,Warrumbungle Shire (A),18020,Warrumbungle Shire,1,Good,Good,0
18050,Waverley (A),18050,Waverley,1,Good,Good,0
18100,Weddin (A),18100,Weddin,1,Good,Good,0
18200,Wentworth (A),18200,Wentworth,1,Good,Good,0
18250,Willoughby (C),18250,Willoughby,1,Good,Good,0
18350,Wingecarribee (A),18350,Wingecarribee,1,Good,Good,0
18400,Wollondilly (A),18400,Wollondilly,1,Good,Good,0
18450,Wollongong (C),18450,Wollongong,1,Good,Good,0
18500,Woollahra (A),18500,Woollahra,1,Good,Good,0
18710,Yass Valley (A),18710,Yass Valley,1,Good,Good,0
19399,Unincorporated NSW,19399,Unincorporated NSW,1,Good,Good,0
19499,No usual address (NSW),19499,No usual address (NSW),1,Good,Good,0
19799,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,Good,Good,0
20110,Alpine (S),20110,Alpine,1,Good,Good,0
20260,Ararat (RC),20260,Ararat,1,Good,Good,0
20570,Ballarat (C),20570,Ballarat,1,Good,Good,0
20660,Banyule (C),20660,Banyule,1,Good,Good,0
20740,Bass Coast (S),20740,Bass Coast,1,Good,Good,0
20830,Baw Baw (S),20830,Baw Baw,1,Good,Good,0
20910,Bayside (C),20910,Bayside (Vic.),1,Good,Good,0
21010,Benalla (RC),21010,Benalla,1,Good,Good,0
21110,Boroondara (C),21110,Boroondara,1,Good,Good,0
21180,Brimbank (C),21180,Brimbank,1,Good,Good,0
21270,Buloke (S),21270,Buloke,1,Good,Good,0
21370,Campaspe (S),21370,Campaspe,1,Good,Good,0
21450,Cardinia (S),21450,Cardinia,1,Good,Good,0
21610,Casey (C),21610,Casey,1,Good,Good,0
21670,Central Goldfields (S),21670,Central Goldfields,1,Good,Good,0
21750,Colac-Otway (S),21750,Colac Otway,1,Good,Good,0
21830,Corangamite (S),21830,Corangamite,1,Good,Good,0
21890,Darebin (C),21890,Darebin,1,Good,Good,0
22110,East Gippsland (S),22110,East Gippsland,1,Good,Good,0
22170,Frankston (C),22170,Frankston,1,Good,Good,0
22250,Gannawarra (S),22250,Gannawarra,1,Good,Good,0
22310,Glen Eira (C),22310,Glen Eira,1,Good,Good,0
22410,Glenelg (S),22410,Glenelg,1,Good,Good,0
22490,Golden Plains (S),22490,Golden Plains,1,Good,Good,0
22620,Greater Bendigo (C),22620,Greater Bendigo,1,Good,Good,0
22670,Greater Dandenong (C),22670,Greater Dandenong,1,Good,Good,0
22750,Greater Geelong (C),22750,Greater Geelong,1,Good,Good,0
