"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n"
1,"12-13","male","2017-2018","1_metric_cup_or_less","60200"
1,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","2800"
1,"12-13","male","2017-2018","2_metric_cups_or_more","10400"
1,"14-17","male","2017-2018","did_not_consume","48500"
1,"14-17","male","2017-2018","1_metric_cup_or_less","95500"
1,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","19200"
1,"14-17","male","2017-2018","2_metric_cups_or_more","14600"
2,"2-3","male","2017-2018","did_not_consume","72500"
2,"2-3","male","2017-2018","1_metric_cup_or_less","9100"
2,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
2,"4-8","male","2017-2018","did_not_consume","132700"
2,"4-8","male","2017-2018","1_metric_cup_or_less","63700"
2,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"4-8","male","2017-2018","2_metric_cups_or_more","NULL"
2,"9-11","male","2017-2018","did_not_consume","68400"
2,"9-11","male","2017-2018","1_metric_cup_or_less","59300"
2,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"9-11","male","2017-2018","2_metric_cups_or_more","8200"
2,"12-13","male","2017-2018","did_not_consume","32000"
2,"12-13","male","2017-2018","1_metric_cup_or_less","32100"
2,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","4800"
2,"12-13","male","2017-2018","2_metric_cups_or_more","2500"
2,"14-17","male","2017-2018","did_not_consume","52200"
2,"14-17","male","2017-2018","1_metric_cup_or_less","72600"
2,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","18900"
2,"14-17","male","2017-2018","2_metric_cups_or_more","12400"
3,"2-3","male","2017-2018","did_not_consume","44700"
3,"2-3","male","2017-2018","1_metric_cup_or_less","4300"
3,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
3,"4-8","male","2017-2018","did_not_consume","113300"
3,"4-8","male","2017-2018","1_metric_cup_or_less","66000"
3,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"4-8","male","2017-2018","2_metric_cups_or_more","2800"
3,"9-11","male","2017-2018","did_not_consume","41200"
3,"9-11","male","2017-2018","1_metric_cup_or_less","50600"
3,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"9-11","male","2017-2018","2_metric_cups_or_more","NULL"
3,"12-13","male","2017-2018","did_not_consume","26700"
3,"12-13","male","2017-2018","1_metric_cup_or_less","32700"
3,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","3800"
3,"12-13","male","2017-2018","2_metric_cups_or_more","3800"
3,"14-17","male","2017-2018","did_not_consume","32000"
3,"14-17","male","2017-2018","1_metric_cup_or_less","60000"
3,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","12100"
3,"14-17","male","2017-2018","2_metric_cups_or_more","19100"
4,"2-3","male","2017-2018","1_metric_cup_or_less","10700"
4,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","3500"
4,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
4,"4-8","male","2017-2018","1_metric_cup_or_less","43900"
