"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","p"
1,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"2-3","male","2017-2018","2_metric_cups_or_more","0.057"
1,"4-8","male","2017-2018","did_not_consume","0.657"
1,"4-8","male","2017-2018","1_metric_cup_or_less","0.256"
1,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
1,"4-8","male","2017-2018","2_metric_cups_or_more","0.058"
1,"9-11","male","2017-2018","did_not_consume","0.53"
1,"9-11","male","2017-2018","1_metric_cup_or_less","0.359"
1,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","0.024"
1,"9-11","male","2017-2018","2_metric_cups_or_more","0.063"
1,"12-13","male","2017-2018","did_not_consume","0.239"
1,"12-13","male","2017-2018","1_metric_cup_or_less","0.588"
1,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","0.027"
1,"12-13","male","2017-2018","2_metric_cups_or_more","0.102"
1,"14-17","male","2017-2018","did_not_consume","0.266"
1,"14-17","male","2017-2018","1_metric_cup_or_less","0.523"
1,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","0.105"
1,"14-17","male","2017-2018","2_metric_cups_or_more","0.08"
2,"2-3","male","2017-2018","did_not_consume","0.881"
2,"2-3","male","2017-2018","1_metric_cup_or_less","0.111"
2,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
2,"4-8","male","2017-2018","did_not_consume","0.646"
2,"4-8","male","2017-2018","1_metric_cup_or_less","0.31"
2,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"4-8","male","2017-2018","2_metric_cups_or_more","NULL"
2,"9-11","male","2017-2018","did_not_consume","0.565"
2,"9-11","male","2017-2018","1_metric_cup_or_less","0.49"
2,"9-11","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
2,"9-11","male","2017-2018","2_metric_cups_or_more","0.068"
2,"12-13","male","2017-2018","did_not_consume","0.457"
2,"12-13","male","2017-2018","1_metric_cup_or_less","0.459"
2,"12-13","male","2017-2018","more_than_1_to_less_than_2_cups","0.069"
2,"12-13","male","2017-2018","2_metric_cups_or_more","0.036"
2,"14-17","male","2017-2018","did_not_consume","0.353"
2,"14-17","male","2017-2018","1_metric_cup_or_less","0.491"
2,"14-17","male","2017-2018","more_than_1_to_less_than_2_cups","0.128"
2,"14-17","male","2017-2018","2_metric_cups_or_more","0.084"
3,"2-3","male","2017-2018","did_not_consume","0.856"
3,"2-3","male","2017-2018","1_metric_cup_or_less","0.082"
3,"2-3","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"2-3","male","2017-2018","2_metric_cups_or_more","NULL"
3,"4-8","male","2017-2018","did_not_consume","0.601"
3,"4-8","male","2017-2018","1_metric_cup_or_less","0.35"
3,"4-8","male","2017-2018","more_than_1_to_less_than_2_cups","NULL"
3,"4-8","male","2017-2018","2_metric_cups_or_more","0.015"
3,"9-11","male","2017-2018","did_not_consume","0.429"
3,"9-11","male","2017-2018","1_metric_cup_or_less","0.527"
