"STE_CODE16","age_group","sex","year_range","usual_consumption_selected_sugar_sweetened_diet_drinks","n","uncertainty"
2,"4-8","female","2017-2018","total",193600,0
2,"9-11","female","2017-2018","did_not_consume",83000,0
2,"9-11","female","2017-2018","1_metric_cup_or_less",38100,0
2,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
2,"9-11","female","2017-2018","total",118100,0
2,"12-13","female","2017-2018","did_not_consume",43200,0
2,"12-13","female","2017-2018","1_metric_cup_or_less",32700,1
2,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
2,"12-13","female","2017-2018","total",74500,0
2,"14-17","female","2017-2018","did_not_consume",84300,0
2,"14-17","female","2017-2018","1_metric_cup_or_less",50300,0
2,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",5000,2
2,"14-17","female","2017-2018","2_metric_cups_or_more",3300,2
2,"14-17","female","2017-2018","total",134300,0
2,"...7","female","2017-2018","more_than_1_to_less_than_2_cups",NA,2
2,"...7","female","2017-2018","2_metric_cups_or_more",NA,2
2,"2-14","female","2017-2018","did_not_consume",352800,0
2,"2-14","female","2017-2018","1_metric_cup_or_less",136500,0
2,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
2,"2-14","female","2017-2018","2_metric_cups_or_more",0,0
2,"2-14","female","2017-2018","total",494200,0
2,"15-17","female","2017-2018","did_not_consume",65000,0
2,"15-17","female","2017-2018","1_metric_cup_or_less",31200,0
2,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",6200,2
2,"15-17","female","2017-2018","2_metric_cups_or_more",3300,2
2,"15-17","female","2017-2018","total",108500,0
3,"2-3","female","2017-2018","did_not_consume",57300,0
3,"2-3","female","2017-2018","1_metric_cup_or_less",9700,1
3,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
3,"2-3","female","2017-2018","total",71800,0
3,"4-8","female","2017-2018","did_not_consume",110900,0
3,"4-8","female","2017-2018","1_metric_cup_or_less",38600,0
3,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"4-8","female","2017-2018","2_metric_cups_or_more",1500,2
3,"4-8","female","2017-2018","total",152400,0
3,"9-11","female","2017-2018","did_not_consume",54600,0
3,"9-11","female","2017-2018","1_metric_cup_or_less",38900,0
3,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
3,"9-11","female","2017-2018","total",96100,0
3,"12-13","female","2017-2018","did_not_consume",21000,1
3,"12-13","female","2017-2018","1_metric_cup_or_less",36400,0
3,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
3,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
3,"12-13","female","2017-2018","total",65000,0
3,"14-17","female","2017-2018","did_not_consume",64600,0
3,"14-17","female","2017-2018","1_metric_cup_or_less",35900,0
3,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",8600,2
3,"14-17","female","2017-2018","2_metric_cups_or_more",7500,1
3,"14-17","female","2017-2018","total",118900,0
3,"...7","female","2017-2018","more_than_1_to_less_than_2_cups",NA,2
3,"...7","female","2017-2018","2_metric_cups_or_more",NA,1
3,"2-14","female","2017-2018","did_not_consume",263500,0
3,"2-14","female","2017-2018","1_metric_cup_or_less",126600,0
3,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",7100,1
3,"2-14","female","2017-2018","2_metric_cups_or_more",8000,1
3,"2-14","female","2017-2018","total",403800,0
3,"15-17","female","2017-2018","did_not_consume",52000,0
3,"15-17","female","2017-2018","1_metric_cup_or_less",22700,0
3,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",6500,2
3,"15-17","female","2017-2018","2_metric_cups_or_more",5800,2
3,"15-17","female","2017-2018","total",84800,0
4,"2-3","female","2017-2018","did_not_consume",14800,1
4,"2-3","female","2017-2018","1_metric_cup_or_less",0,0
4,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
4,"2-3","female","2017-2018","total",10400,1
4,"4-8","female","2017-2018","did_not_consume",42300,0
4,"4-8","female","2017-2018","1_metric_cup_or_less",16800,1
4,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
4,"4-8","female","2017-2018","total",58200,0
4,"9-11","female","2017-2018","did_not_consume",10200,1
4,"9-11","female","2017-2018","1_metric_cup_or_less",17800,1
4,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
4,"9-11","female","2017-2018","total",28500,0
4,"12-13","female","2017-2018","did_not_consume",4800,2
4,"12-13","female","2017-2018","1_metric_cup_or_less",8200,1
4,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",1400,2
4,"12-13","female","2017-2018","2_metric_cups_or_more",3400,2
4,"12-13","female","2017-2018","total",18000,0
4,"14-17","female","2017-2018","did_not_consume",20900,0
4,"14-17","female","2017-2018","1_metric_cup_or_less",19200,0
4,"14-17","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"14-17","female","2017-2018","2_metric_cups_or_more",3500,2
4,"14-17","female","2017-2018","total",42800,0
4,"...7","female","2017-2018","2_metric_cups_or_more",NA,2
4,"2-14","female","2017-2018","did_not_consume",75300,0
4,"2-14","female","2017-2018","1_metric_cup_or_less",51000,0
4,"2-14","female","2017-2018","more_than_1_to_less_than_2_cups",2600,1
4,"2-14","female","2017-2018","2_metric_cups_or_more",3400,2
4,"2-14","female","2017-2018","total",132300,0
4,"15-17","female","2017-2018","did_not_consume",13000,0
4,"15-17","female","2017-2018","1_metric_cup_or_less",13400,0
4,"15-17","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
4,"15-17","female","2017-2018","2_metric_cups_or_more",3500,2
4,"15-17","female","2017-2018","total",25000,0
5,"2-3","female","2017-2018","did_not_consume",15200,1
5,"2-3","female","2017-2018","1_metric_cup_or_less",6600,2
5,"2-3","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"2-3","female","2017-2018","2_metric_cups_or_more",0,0
5,"2-3","female","2017-2018","total",33300,0
5,"4-8","female","2017-2018","did_not_consume",62000,0
5,"4-8","female","2017-2018","1_metric_cup_or_less",26400,1
5,"4-8","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"4-8","female","2017-2018","2_metric_cups_or_more",0,0
5,"4-8","female","2017-2018","total",89900,0
5,"9-11","female","2017-2018","did_not_consume",29400,0
5,"9-11","female","2017-2018","1_metric_cup_or_less",9700,1
5,"9-11","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"9-11","female","2017-2018","2_metric_cups_or_more",0,0
5,"9-11","female","2017-2018","total",42200,0
5,"12-13","female","2017-2018","did_not_consume",22500,0
5,"12-13","female","2017-2018","1_metric_cup_or_less",11300,1
5,"12-13","female","2017-2018","more_than_1_to_less_than_2_cups",0,0
5,"12-13","female","2017-2018","2_metric_cups_or_more",0,0
