"SA2_CODE16","age_group","sex","calendar_year","n_children_attending_preschool","SA3_CODE16"
"299999989","3-6","female","2017",14,NA
"299999989","3-6",NA,"2017",0,NA
"301021010","3-6","male","2017",45,NA
"301021010","3-6","female","2017",50,NA
"301021010","3-6",NA,"2017",0,NA
"308021193","3-6","male","2017",31,NA
"308021193","3-6","female","2017",27,NA
"308021193","3-6",NA,"2017",0,NA
"308021194","3-6","male","2017",64,NA
"308021194","3-6","female","2017",59,NA
"308021194","3-6",NA,"2017",0,NA
"308021195","3-6","male","2017",54,NA
"308021195","3-6","female","2017",56,NA
"308021195","3-6",NA,"2017",0,NA
"308021196","3-6","male","2017",144,NA
"308021196","3-6","female","2017",148,NA
"308021196","3-6",NA,"2017",0,NA
"308021197","3-6","male","2017",0,NA
"308021197","3-6","female","2017",0,NA
"308021197","3-6",NA,"2017",0,NA
"308021198","3-6","male","2017",177,NA
"308021198","3-6","female","2017",163,NA
"308021198","3-6",NA,"2017",0,NA
"308021199","3-6","male","2017",57,NA
"308021199","3-6","female","2017",49,NA
"308021199","3-6",NA,"2017",0,NA
"308021200","3-6","male","2017",137,NA
"308021200","3-6","female","2017",114,NA
"308021200","3-6",NA,"2017",0,NA
"308021201","3-6","male","2017",43,NA
"308021201","3-6","female","2017",39,NA
"308021201","3-6",NA,"2017",0,NA
"308021202","3-6","male","2017",0,NA
"308021202","3-6","female","2017",0,NA
"308021202","3-6",NA,"2017",0,NA
"308021203","3-6","male","2017",88,NA
"308021203","3-6","female","2017",70,NA
"308021203","3-6",NA,"2017",0,NA
"308021204","3-6","male","2017",39,NA
"308021204","3-6","female","2017",48,NA
"308021204","3-6",NA,"2017",0,NA
"309091266","3-6","male","2017",266,NA
"309091266","3-6","female","2017",227,NA
"309091266","3-6",NA,"2017",0,NA
"313051381","3-6","male","2017",92,NA
"313051381","3-6","female","2017",87,NA
"313051381","3-6",NA,"2017",0,NA
"316041429","3-6","male","2017",120,NA
